semantic_id,client,seed
cifar100_proser_fedavg__split00__seed0__d0.1,0,3560745687
cifar100_proser_fedavg__split00__seed0__d0.1,1,1931313361
cifar100_proser_fedavg__split00__seed0__d0.1,2,25447122
cifar100_proser_fedavg__split00__seed0__d0.1,3,2146085250
cifar100_proser_fedavg__split00__seed0__d0.1,4,3363838332
cifar100_proser_fedavg__split00__seed0__d0.5,0,216696279
cifar100_proser_fedavg__split00__seed0__d0.5,1,1780887004
cifar100_proser_fedavg__split00__seed0__d0.5,2,3167809328
cifar100_proser_fedavg__split00__seed0__d0.5,3,4059320193
cifar100_proser_fedavg__split00__seed0__d0.5,4,1108622854
cifar100_proser_fedavg__split00__seed0__d5.0,0,4054442425
cifar100_proser_fedavg__split00__seed0__d5.0,1,3974105726
cifar100_proser_fedavg__split00__seed0__d5.0,2,775691221
cifar100_proser_fedavg__split00__seed0__d5.0,3,3384272559
cifar100_proser_fedavg__split00__seed0__d5.0,4,1645687212
cifar100_proser_fedavg__split00__seed1__d0.1,0,973169832
cifar100_proser_fedavg__split00__seed1__d0.1,1,1577236043
cifar100_proser_fedavg__split00__seed1__d0.1,2,1115035400
cifar100_proser_fedavg__split00__seed1__d0.1,3,2119958119
cifar100_proser_fedavg__split00__seed1__d0.1,4,213460383
cifar100_proser_fedavg__split00__seed1__d0.5,0,3178983850
cifar100_proser_fedavg__split00__seed1__d0.5,1,3555312054
cifar100_proser_fedavg__split00__seed1__d0.5,2,2840077403
cifar100_proser_fedavg__split00__seed1__d0.5,3,1826087812
cifar100_proser_fedavg__split00__seed1__d0.5,4,1294519903
cifar100_proser_fedavg__split00__seed1__d5.0,0,4042964068
cifar100_proser_fedavg__split00__seed1__d5.0,1,4167252680
cifar100_proser_fedavg__split00__seed1__d5.0,2,4173275149
cifar100_proser_fedavg__split00__seed1__d5.0,3,1830140152
cifar100_proser_fedavg__split00__seed1__d5.0,4,1411587989
cifar100_proser_fedavg__split00__seed2__d0.1,0,982951791
cifar100_proser_fedavg__split00__seed2__d0.1,1,4190082310
cifar100_proser_fedavg__split00__seed2__d0.1,2,1267642931
cifar100_proser_fedavg__split00__seed2__d0.1,3,1529991855
cifar100_proser_fedavg__split00__seed2__d0.1,4,3096818670
cifar100_proser_fedavg__split00__seed2__d0.5,0,3041624030
cifar100_proser_fedavg__split00__seed2__d0.5,1,3080600661
cifar100_proser_fedavg__split00__seed2__d0.5,2,128144904
cifar100_proser_fedavg__split00__seed2__d0.5,3,248515492
cifar100_proser_fedavg__split00__seed2__d0.5,4,652769387
cifar100_proser_fedavg__split00__seed2__d5.0,0,3807762679
cifar100_proser_fedavg__split00__seed2__d5.0,1,3240747060
cifar100_proser_fedavg__split00__seed2__d5.0,2,857908600
cifar100_proser_fedavg__split00__seed2__d5.0,3,2558279811
cifar100_proser_fedavg__split00__seed2__d5.0,4,223604665
cifar100_proser_fedavg__split00__seed3__d0.1,0,3832418548
cifar100_proser_fedavg__split00__seed3__d0.1,1,2396056143
cifar100_proser_fedavg__split00__seed3__d0.1,2,1411815839
cifar100_proser_fedavg__split00__seed3__d0.1,3,3727283436
cifar100_proser_fedavg__split00__seed3__d0.1,4,4008330868
cifar100_proser_fedavg__split00__seed3__d0.5,0,33697206
cifar100_proser_fedavg__split00__seed3__d0.5,1,3192685591
cifar100_proser_fedavg__split00__seed3__d0.5,2,3708230719
cifar100_proser_fedavg__split00__seed3__d0.5,3,73044869
cifar100_proser_fedavg__split00__seed3__d0.5,4,2674217183
cifar100_proser_fedavg__split00__seed3__d5.0,0,3769800297
cifar100_proser_fedavg__split00__seed3__d5.0,1,2083243117
cifar100_proser_fedavg__split00__seed3__d5.0,2,556525470
cifar100_proser_fedavg__split00__seed3__d5.0,3,2836965293
cifar100_proser_fedavg__split00__seed3__d5.0,4,2050293338
cifar100_proser_fedavg__split00__seed4__d0.1,0,3574570620
cifar100_proser_fedavg__split00__seed4__d0.1,1,2629690029
cifar100_proser_fedavg__split00__seed4__d0.1,2,4283403631
cifar100_proser_fedavg__split00__seed4__d0.1,3,1723796230
cifar100_proser_fedavg__split00__seed4__d0.1,4,2804774608
cifar100_proser_fedavg__split00__seed4__d0.5,0,3116035681
cifar100_proser_fedavg__split00__seed4__d0.5,1,3260077784
cifar100_proser_fedavg__split00__seed4__d0.5,2,3950608633
cifar100_proser_fedavg__split00__seed4__d0.5,3,656693227
cifar100_proser_fedavg__split00__seed4__d0.5,4,3504806130
cifar100_proser_fedavg__split00__seed4__d5.0,0,1215756328
cifar100_proser_fedavg__split00__seed4__d5.0,1,2982348510
cifar100_proser_fedavg__split00__seed4__d5.0,2,1624794868
cifar100_proser_fedavg__split00__seed4__d5.0,3,1708899671
cifar100_proser_fedavg__split00__seed4__d5.0,4,494617948
cifar100_proser_fedavg__split01__seed0__d0.1,0,2512337788
cifar100_proser_fedavg__split01__seed0__d0.1,1,2974067368
cifar100_proser_fedavg__split01__seed0__d0.1,2,1866649856
cifar100_proser_fedavg__split01__seed0__d0.1,3,1477381904
cifar100_proser_fedavg__split01__seed0__d0.1,4,3605053174
cifar100_proser_fedavg__split01__seed0__d0.5,0,1881295388
cifar100_proser_fedavg__split01__seed0__d0.5,1,3427133957
cifar100_proser_fedavg__split01__seed0__d0.5,2,1333636493
cifar100_proser_fedavg__split01__seed0__d0.5,3,721288375
cifar100_proser_fedavg__split01__seed0__d0.5,4,826774981
cifar100_proser_fedavg__split01__seed0__d5.0,0,1814201448
cifar100_proser_fedavg__split01__seed0__d5.0,1,4108604015
cifar100_proser_fedavg__split01__seed0__d5.0,2,1528988230
cifar100_proser_fedavg__split01__seed0__d5.0,3,2978530902
cifar100_proser_fedavg__split01__seed0__d5.0,4,2733263051
cifar100_proser_fedavg__split01__seed1__d0.1,0,3529907036
cifar100_proser_fedavg__split01__seed1__d0.1,1,2559542619
cifar100_proser_fedavg__split01__seed1__d0.1,2,3959936971
cifar100_proser_fedavg__split01__seed1__d0.1,3,3703935972
cifar100_proser_fedavg__split01__seed1__d0.1,4,1884312775
cifar100_proser_fedavg__split01__seed1__d0.5,0,2785083463
cifar100_proser_fedavg__split01__seed1__d0.5,1,1137718336
cifar100_proser_fedavg__split01__seed1__d0.5,2,473901667
cifar100_proser_fedavg__split01__seed1__d0.5,3,1642978526
cifar100_proser_fedavg__split01__seed1__d0.5,4,466925198
cifar100_proser_fedavg__split01__seed1__d5.0,0,53447630
cifar100_proser_fedavg__split01__seed1__d5.0,1,3076888762
cifar100_proser_fedavg__split01__seed1__d5.0,2,3252438031
cifar100_proser_fedavg__split01__seed1__d5.0,3,395276437
cifar100_proser_fedavg__split01__seed1__d5.0,4,2208610016
cifar100_proser_fedavg__split01__seed2__d0.1,0,741519621
cifar100_proser_fedavg__split01__seed2__d0.1,1,3551033943
cifar100_proser_fedavg__split01__seed2__d0.1,2,554469351
