semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,0.1,514,1.0,200.0,1.0,0.005,0.00016496835477988224,0.03299367095597645
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,0.1,1028,1.0,200.0,68.0,0.34,0.01293673736100999,0.038049227532382324
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,0.5,514,1.0,200.0,9.0,0.045,0.0015316066413978582,0.03403570314217463
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,0.5,1028,1.0,200.0,108.0,0.54,0.027598682254214024,0.05110867084113708
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,5.0,514,1.0,200.0,3.0,0.015,0.0015877663538030346,0.10585109025353563
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,5.0,1028,1.0,200.0,111.0,0.555,0.048500567101534456,0.08738840919195398
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,0.1,1028,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,0.5,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,0.5,1028,1.0,200.0,36.0,0.18,0.009548799419152982,0.05304888566196101
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,5.0,514,1.0,200.0,34.0,0.17,0.009106321936326585,0.053566599625450496
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,5.0,1028,1.0,200.0,192.0,0.96,0.07656289340893709,0.0797530139676428
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,0.1,1028,1.0,200.0,58.0,0.29,0.012410369785800407,0.04279437857172553
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,0.5,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,0.5,1028,1.0,200.0,24.0,0.12,0.004271203238279669,0.03559336031899724
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,5.0,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,5.0,1028,1.0,200.0,27.0,0.135,0.0061850665716071005,0.04581530793783037
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,0.1,1028,1.0,200.0,16.0,0.08,0.0020817369210316765,0.026021711512895958
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,0.5,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,0.5,1028,1.0,200.0,15.0,0.075,0.004734563747731651,0.06312751663642202
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,5.0,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,5.0,1028,1.0,200.0,21.0,0.105,0.008937716312755743,0.0851211077405309
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,0.1,1028,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,0.5,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,0.5,1028,1.0,200.0,56.0,0.28,0.023645531664774868,0.08444832737419596
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,5.0,514,1.0,200.0,1.0,0.005,0.00033743284936418156,0.06748656987283631
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,5.0,1028,1.0,200.0,50.0,0.25,0.015048639052799028,0.06019455621119611
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,0.1,1028,1.0,200.0,57.0,0.285,0.006761940138652087,0.023726105749656445
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
