dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar10,0.1,128,50.0,10000.0,0.0,0.0,0.0,
cifar10,0.1,256,50.0,10000.0,82.0,0.0082,0.001075741485831582,0.1311879860770222
cifar10,0.1,514,50.0,10000.0,1074.0,0.1074,0.015566685904488875,0.14494120953900252
cifar10,0.1,1028,50.0,10000.0,3060.0,0.306,0.042519029014442676,0.13895107521059696
cifar10,0.5,128,50.0,10000.0,72.0,0.0072,0.0015743664510319115,0.21866200708776548
cifar10,0.5,256,50.0,10000.0,1682.0,0.1682,0.039421510640220626,0.23437283377063395
cifar10,0.5,514,50.0,10000.0,4767.0,0.4767,0.13270835825135496,0.27838967537519393
cifar10,0.5,1028,50.0,10000.0,6790.0,0.679,0.2129785908297372,0.31366508222347156
cifar10,5.0,128,50.0,10000.0,121.0,0.0121,0.002726006296183661,0.2252897765441042
cifar10,5.0,256,50.0,10000.0,2782.0,0.2782,0.07064764300743813,0.25394551763996454
cifar10,5.0,514,50.0,10000.0,6546.0,0.6546,0.21238751326460512,0.3244538852193784
cifar10,5.0,1028,50.0,10000.0,8126.0,0.8126,0.31344845941909383,0.3857352441780628
cifar100,0.1,128,50.0,10000.0,0.0,0.0,0.0,
cifar100,0.1,256,50.0,10000.0,0.0,0.0,0.0,
cifar100,0.1,514,50.0,10000.0,9.0,0.0009,3.9875633982183036e-05,0.04430625998020337
cifar100,0.1,1028,50.0,10000.0,826.0,0.0826,0.0035311415487213446,0.042749897684277775
cifar100,0.5,128,50.0,10000.0,0.0,0.0,0.0,
cifar100,0.5,256,50.0,10000.0,2.0,0.0002,1.7478300142746006e-05,0.08739150071373003
cifar100,0.5,514,50.0,10000.0,726.0,0.0726,0.005476216737196204,0.07542998260600833
cifar100,0.5,1028,50.0,10000.0,5023.0,0.5023,0.0478468564965961,0.09525553752059744
cifar100,5.0,128,50.0,10000.0,0.0,0.0,0.0,
cifar100,5.0,256,50.0,10000.0,7.0,0.0007,4.6770485000033e-05,0.06681497857147572
cifar100,5.0,514,50.0,10000.0,1527.0,0.1527,0.013607106964474062,0.0891100652552329
cifar100,5.0,1028,50.0,10000.0,7183.0,0.7183,0.08801699460064343,0.12253514492641437
