semantic_id,alpha,M,ordered_family_sha256
cifar100_proser_fedavg__split00__seed0__d0.1,0.05,12,9311937483fa4dadd48705b8e2fa1f50473360667f11d5ed03b98910d35d592d
cifar100_proser_fedavg__split00__seed0__d0.1,0.1,12,96c80d452352ad8aa1d38bee7ced4f6eb4e4f63a087b8e45249d5fd7f742a04d
cifar100_proser_fedavg__split00__seed0__d0.1,0.15,12,9a43697922ad61c8aa5e8a07d8890009a0dbdb5daceff7dd0b79fbf907802f0c
cifar100_proser_fedavg__split00__seed0__d0.1,0.2,12,4bc39eae3d14adfc394fac87ca7aaba989a03f64d4ab9557e7ee7087d5d707e8
cifar100_proser_fedavg__split00__seed0__d0.1,0.25,12,ad31ab3266ff3a54ebeecc3bb4411dbab1394d79f9a0955a3effb19393b104b9
cifar100_proser_fedavg__split00__seed0__d0.1,0.3,12,4fd5b4abf8729f57e808e95875a2ceb561a8db9bdf5e93a5caaea3424f73d1a4
cifar100_proser_fedavg__split00__seed0__d0.5,0.05,12,5afc220b1c505ef50014dffba8b6aa27bd55135ecc3445f7a855d95bc2dba95d
cifar100_proser_fedavg__split00__seed0__d0.5,0.1,12,ed3bf5f03d1931130321cd50263eee9f862054719d0dac99f10dc9aecf4210e2
cifar100_proser_fedavg__split00__seed0__d0.5,0.15,12,1022996b412a2d698f9619fb582b857bb5b0389c01d3dc46b2a3e7129955cbb5
cifar100_proser_fedavg__split00__seed0__d0.5,0.2,12,106c60372865f834c0ae3fee183b3abdd62172173083e7fe1e9ac8b2a9ff746e
cifar100_proser_fedavg__split00__seed0__d0.5,0.25,12,fbe4899765a7a64b7b56fa508808681172f08f1758d641e289895db7bd122593
cifar100_proser_fedavg__split00__seed0__d0.5,0.3,12,8f9c75601c5104a0d0545d2214b04c5c718a4b16a31d9b301ec479f9277264d7
cifar100_proser_fedavg__split00__seed0__d5.0,0.05,12,3d933d72fbeb367a0cac554ba1adaffd14b6e8e8d42875f1703823c79d0d3b25
cifar100_proser_fedavg__split00__seed0__d5.0,0.1,12,fda0f3643688921ba046ad6a5c9efe743419875892f2d27b6b5e6c214e6deb0e
cifar100_proser_fedavg__split00__seed0__d5.0,0.15,12,abb7e6cf25e959adf0ca0174129a0f0bb9190c487a9f04505ef309a188e4cfce
cifar100_proser_fedavg__split00__seed0__d5.0,0.2,12,e143281873f170a31926c2e39f93ee36236896ddce7ccccfc2f3719ef06f6514
cifar100_proser_fedavg__split00__seed0__d5.0,0.25,12,37478f05ad1ace8887693bdb1667d0240499984e7fc610fb3ff8c27fc72c1661
cifar100_proser_fedavg__split00__seed0__d5.0,0.3,12,c5e356f124aa5531b26fc4376605e48ae1779eeae7dd0e94194fd317b1868f3f
cifar100_proser_fedavg__split00__seed1__d0.1,0.05,12,aea09851b0281075f27811740abfd8937e1a2774491f4e5c3838bb1224dbe74c
cifar100_proser_fedavg__split00__seed1__d0.1,0.1,12,55da4a0f496776e30d63d0245b5bcf275cac98094e6230d2348734f87fc6ebf9
cifar100_proser_fedavg__split00__seed1__d0.1,0.15,12,74e3ba2d41ba4e1ec8a2a6210ed0ee89035426e7f843ffaa497353516730cc3d
cifar100_proser_fedavg__split00__seed1__d0.1,0.2,12,76729b7bccfd4d7ee57db592f279e4b990c8f5d27cd9b4e686524965821d7443
cifar100_proser_fedavg__split00__seed1__d0.1,0.25,12,b8bf3221a8c0fac8d8c73aa4e5d14418f38e3d897b10280ef1ad22568de334ef
cifar100_proser_fedavg__split00__seed1__d0.1,0.3,12,6d818be32c577c146b5df94033c553c04548faa36ab8b16bd8fcd2f6de496cda
cifar100_proser_fedavg__split00__seed1__d0.5,0.05,12,2724a993233b7c2d97fe1185b2235b5faff6e4a00319d664e85069dea7495af1
cifar100_proser_fedavg__split00__seed1__d0.5,0.1,12,aa456ec2c48f89e27f3a0cf9dcefbfdb61160b97f130a5d3123876ba5d78cd4b
cifar100_proser_fedavg__split00__seed1__d0.5,0.15,12,382a29c1534610066aed06c821523a10d9127ad78f45e0b4a47394c83931f2eb
cifar100_proser_fedavg__split00__seed1__d0.5,0.2,12,bb084d118cdee0db070188ffc67eb3f492a12348e9be26463d4b3297bdc361d3
cifar100_proser_fedavg__split00__seed1__d0.5,0.25,12,aa1a3d68daab5b8d986441b8cc138b6c41663df327feefb098b56dfe609c0d8b
cifar100_proser_fedavg__split00__seed1__d0.5,0.3,12,9d34a413c6a93967291fa23393cd737f44d307f79903e2babfb2faf0cb691252
cifar100_proser_fedavg__split00__seed1__d5.0,0.05,12,89dfa3cd6c426ab01d35f48f40bdb050e12a0d4f60f64755c6fd0a3b3cc339d0
cifar100_proser_fedavg__split00__seed1__d5.0,0.1,12,410a8e62c76ff8cc6be507a9af4d8fdfca1a486957135f3da03588521ab067c2
cifar100_proser_fedavg__split00__seed1__d5.0,0.15,12,b434cfee9ffe041b14d32beb08227b4da8da922ccdb4c03f8221ffc4c74c09a7
cifar100_proser_fedavg__split00__seed1__d5.0,0.2,12,a54dd98d0b56b6619df741e666cddd76501b67476e4c42fdfa74421bc18f0a76
cifar100_proser_fedavg__split00__seed1__d5.0,0.25,12,e022e811edd733c573da69be9737d8f721c61a675274c0e1f16254e841307b91
cifar100_proser_fedavg__split00__seed1__d5.0,0.3,12,2c33518710c21c394f27cbc5aef12f560c5610ca9ba2cf1fb346a9f5da58c59d
cifar100_proser_fedavg__split00__seed2__d0.1,0.05,12,867ec44fe4d2be558a0d36c185488d67ca1745ca062d7cd3b717cd13a9dae403
cifar100_proser_fedavg__split00__seed2__d0.1,0.1,12,f109f7a278af6e2217649bf2a6927cabe94db856324d18454440b75cfc5139ec
cifar100_proser_fedavg__split00__seed2__d0.1,0.15,12,59795c28482240e5ac6854584e604c564170e0b9e80fe7491c6813cbe06ae2cf
cifar100_proser_fedavg__split00__seed2__d0.1,0.2,12,93987fd1f75403e229de226a1e9df6f2ea91c0d80c24c265eb5f972a0d887f1e
cifar100_proser_fedavg__split00__seed2__d0.1,0.25,12,feb77393dcedde0d28fa837167263f8ed5da853d840d9c5ba314792443cd3ce6
cifar100_proser_fedavg__split00__seed2__d0.1,0.3,12,b2a5f13cba99606248d9c2d3f579344e6bafab7d1fa7cdad8a6078c36eb4d556
cifar100_proser_fedavg__split00__seed2__d0.5,0.05,12,458feab0e85517091129f3ee18e8a1d8b1e3c08420a975d21c6ebeea2167897b
cifar100_proser_fedavg__split00__seed2__d0.5,0.1,12,abb88d4880937ba0e993f220ca971f124f7efbc02f6c9cb1d362e86bf50d9893
cifar100_proser_fedavg__split00__seed2__d0.5,0.15,12,c0c57477a04cd4ad41d8929803a45826ec7131394092d247375135fd79709406
cifar100_proser_fedavg__split00__seed2__d0.5,0.2,12,1565e885b243574cae72b45e311727fdabd07ed8da28d7ddc3e66da80d2f764d
cifar100_proser_fedavg__split00__seed2__d0.5,0.25,12,17ea4130bde553ebc7d21cb9e5f8af9078ce7441aadc73b22cd27b9a6b7adc97
cifar100_proser_fedavg__split00__seed2__d0.5,0.3,12,81cbec5a358f9df093404c96a9e3b8441fe046e97a2018e86854cf0e9e4d46dc
cifar100_proser_fedavg__split00__seed2__d5.0,0.05,12,886bbe697523a0b19128fe8455d4ba2d28610eb9108da782bc0c09160671ae6b
cifar100_proser_fedavg__split00__seed2__d5.0,0.1,12,e24a8d66077a4ccf593b82a11be062eae535b5865d6915a996b0d9b6fe2eb18c
cifar100_proser_fedavg__split00__seed2__d5.0,0.15,12,e346dcc527100e608e447789df4e1b2bf93bb1d91fddf94d58bbfdd19b1d04af
cifar100_proser_fedavg__split00__seed2__d5.0,0.2,12,b1b4ff1fd9ef68905171e63f516e610efffa2efdd144731eb6288a7ebdce9452
cifar100_proser_fedavg__split00__seed2__d5.0,0.25,12,38161f8db47ab75fada5373085e9958eed8d57a1df5e3fd555a4909192020da4
cifar100_proser_fedavg__split00__seed2__d5.0,0.3,12,e07139e5887afd734d890b93fb51ec406c0f713ba220b097b89624688fa66d3b
cifar100_proser_fedavg__split00__seed3__d0.1,0.05,12,f7793f06a0a9f70136c7b2f2ff678156f9f346e16f6663d7f3226f785f0d4508
cifar100_proser_fedavg__split00__seed3__d0.1,0.1,12,a1ad858819f5e361ecc4f55f945a3f66f8319f575ff9d80c8347435a3b76b52b
cifar100_proser_fedavg__split00__seed3__d0.1,0.15,12,6282ff58838737ad4cd4313f593386d0f4dd722836d5fad76f6343824e9ce327
cifar100_proser_fedavg__split00__seed3__d0.1,0.2,12,4af64f46b361601363320170a3f6615b0190d41eff0bce96b077c83542c76cb0
cifar100_proser_fedavg__split00__seed3__d0.1,0.25,12,acd5f800b670c0218a1f9608167361006b574f6ab22d5871b8fb34be7fe5a178
cifar100_proser_fedavg__split00__seed3__d0.1,0.3,12,02dd0f476363a652199e08f2e20276c47658f5c1eb3d1b76657f7f19e81b1e3e
cifar100_proser_fedavg__split00__seed3__d0.5,0.05,12,a8a01837f0e05a5dab71c913f8520f29593b82826aafd28cff20005a07f3caf7
cifar100_proser_fedavg__split00__seed3__d0.5,0.1,12,67c0daba5d5cfb80ce8f0aeec62b09fdb49170fcfbfbe5b7f82d7aa4e4648848
cifar100_proser_fedavg__split00__seed3__d0.5,0.15,12,5887db6d156f3381c1140bd0de94ef381ea2e70f94b78e45ae79e2e4ee3208f3
