semantic_id,dataset,condition,d,arm,alpha,J,M,delta_r,delta_c,legacy_eps_c,theorem_eps_c,holm_min_iut_pvalue,holm_n_risk_rejected,legacy_n_certified_candidates,theorem_n_certified_candidates,coverage_allocation_change,legacy_certified,legacy_selected_index,legacy_selected_score,legacy_selected_gamma,legacy_coverage_lcb,legacy_selected_iut_pvalue,theorem_certified,theorem_selected_index,theorem_selected_score,theorem_selected_gamma,theorem_coverage_lcb,theorem_selected_iut_pvalue,archive_convention_holm_reported_pvalue,selection_changed,certification_transition,archive_available,archive_holm_match,archive_simultaneous_match,archive_match_all
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.81450625,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.81450625,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5085114053662192,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5085114053662192,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.14691370449569946,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.14691370449569946,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.12271080639416353,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.12271080639416353,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.005830336286302429,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.005830336286302429,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.0019720057836402445,1,1,1,delta_c/(M J) -> delta_c/M,1,0.0,proser,0.3,0.03233162848255164,0.0019720057836402445,1,0.0,proser,0.3,0.03599914767344486,0.0019720057836402445,0.0019720057836402445,0,1->1,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5883086108947706,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5883086108947706,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.3451482740964763,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.3451482740964763,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.10903210847014952,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.10903210847014952,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.015139162504312586,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.015139162504312586,0,0->0,1,1.0,1.0,1.0
