dataset,condition,comparison,N,point_difference,hierarchical_bootstrap_CI95_low,hierarchical_bootstrap_CI95_high,bootstrap_replicates,bootstrap_seed
cifar10,d0.1,H-B,50,0.008391370840933889,0.00033828428184341173,0.023936805438139766,20000,3724600941
cifar10,d0.1,S-B,50,0.008391370840933889,0.0004160330930548961,0.023896675631381262,20000,2343134899
cifar10,d0.5,H-B,50,0.0319536572054809,0.010198677570620403,0.06375847473061949,20000,3316952266
cifar10,d0.5,S-B,50,0.025041885152573728,0.006002408200596063,0.053527091524777554,20000,1694511909
cifar10,d5,H-B,50,0.04390777344524008,0.02090326013047948,0.07100290231948345,20000,3745818011
cifar10,d5,S-B,50,0.03517841256130179,0.01477451371649407,0.06194016005705797,20000,4291148708
cifar100,d0.1,H-B,50,0.0,0.0,0.0,20000,1052681206
cifar100,d0.1,S-B,50,0.0,0.0,0.0,20000,1068803393
cifar100,d0.5,H-B,50,0.0013822681757911881,0.0,0.0055290727031647524,20000,3269001930
cifar100,d0.5,S-B,50,0.0013822681757911881,0.0,0.0055290727031647524,20000,2606862717
cifar100,d5,H-B,50,0.01785868584779277,0.004761252841975578,0.03413413341062553,20000,1930862398
cifar100,d5,S-B,50,0.01785868584779277,0.004755054143099611,0.03421435217229699,20000,3771338193
officehome,full,H-B,50,0.040440386753437266,0.025069756901045497,0.0561509670975415,20000,3369734203
officehome,full,S-B,50,0.033131434242124704,0.01981501244214624,0.048397443088095654,20000,3964756101
officehome,frozen,H-B,50,0.033961856673591265,0.01569651919878258,0.05538921261318709,20000,4223306
officehome,frozen,S-B,50,0.03190505177804328,0.014841451146998294,0.05160540362912576,20000,2438380383
pathmnist,d0.5,H-B,25,0.060543260230512826,0.010791353654136873,0.122542658162138,20000,2925583311
pathmnist,d0.5,S-B,25,0.055396387128797187,0.007190683987254957,0.11907302418395038,20000,2008133371
pathmnist,d5,H-B,25,0.09963856530075078,0.02206853010176824,0.2204802598630798,20000,1599077890
pathmnist,d5,S-B,25,0.09101302127271227,0.018205510920182282,0.2090767575627967,20000,3049207273
