record_type,split,condition,alpha,n_cells,certified,effective_certified_coverage,conditional_certified_coverage
split_primary,0.0,d0.5,,5.0,5.0,0.4194576962793307,
split_primary,0.0,d5,,5.0,5.0,0.41174036509467077,
split_primary,1.0,d0.5,,5.0,1.0,0.09706620120449612,
split_primary,1.0,d5,,5.0,4.0,0.411334212709594,
split_primary,2.0,d0.5,,5.0,5.0,0.4106344356326236,
split_primary,2.0,d5,,5.0,5.0,0.41983358601379983,
split_primary,3.0,d0.5,,5.0,4.0,0.18844440631554088,
split_primary,3.0,d5,,5.0,3.0,0.18019703178661098,
split_primary,4.0,d0.5,,5.0,1.0,0.03242161082884274,
split_primary,4.0,d5,,5.0,0.0,0.0,
alpha_frontier,,d0.5,0.05,25.0,0.0,0.0,
alpha_frontier,,d0.5,0.1,25.0,4.0,0.0532195658942729,0.3326222868392061
alpha_frontier,,d0.5,0.15,25.0,7.0,0.1192947030533124,0.4260525109046871
alpha_frontier,,d0.5,0.2,25.0,16.0,0.2296048700521668,0.3587576094565106
alpha_frontier,,d0.5,0.25,25.0,19.0,0.3205593243010209,0.4217885846066064
alpha_frontier,,d0.5,0.3,25.0,22.0,0.4338597893163088,0.4930224878594418
alpha_frontier,,d5,0.05,25.0,0.0,0.0,
alpha_frontier,,d5,0.1,25.0,3.0,0.0389901797853187,0.3249181648776558
alpha_frontier,,d5,0.15,25.0,8.0,0.1215063992363026,0.3797074976134457
alpha_frontier,,d5,0.2,25.0,17.0,0.2846210391209351,0.418560351648434
alpha_frontier,,d5,0.25,25.0,20.0,0.4023978660444852,0.5029973325556064
alpha_frontier,,d5,0.3,25.0,21.0,0.5106892932710326,0.6079634443702768
