dataset,condition,alpha,n_cells,fc_certified,fc_support,fc_zero_acceptance,fc_empirical_risk,fc_count,fc_width
cifar10,d0.1,0.05,50,0,15,0,12,23,0
cifar10,d0.1,0.1,50,0,6,0,11,24,9
cifar10,d0.1,0.15,50,2,4,0,10,17,17
cifar10,d0.1,0.2,50,7,3,0,3,14,23
cifar10,d0.1,0.25,50,18,3,0,2,10,17
cifar10,d0.1,0.3,50,22,2,0,2,8,16
cifar10,d0.5,0.05,50,0,1,0,17,25,7
cifar10,d0.5,0.1,50,2,0,0,6,18,24
cifar10,d0.5,0.15,50,10,0,0,0,13,27
cifar10,d0.5,0.2,50,25,0,0,0,2,23
cifar10,d0.5,0.25,50,33,0,0,0,0,17
cifar10,d0.5,0.3,50,46,0,0,0,0,4
cifar10,d5.0,0.05,50,0,1,0,14,30,5
cifar10,d5.0,0.1,50,4,0,0,5,14,27
cifar10,d5.0,0.15,50,22,0,0,0,3,25
cifar10,d5.0,0.2,50,34,0,0,0,1,15
cifar10,d5.0,0.25,50,43,0,0,0,0,7
cifar10,d5.0,0.3,50,50,0,0,0,0,0
cifar100,d0.1,0.05,50,0,5,0,20,25,0
cifar100,d0.1,0.1,50,0,1,0,14,35,0
cifar100,d0.1,0.15,50,0,0,0,3,41,6
cifar100,d0.1,0.2,50,0,0,0,0,18,32
cifar100,d0.1,0.25,50,1,0,0,0,11,38
cifar100,d0.1,0.3,50,11,0,0,0,1,38
cifar100,d0.5,0.05,50,0,1,0,28,21,0
cifar100,d0.5,0.1,50,0,0,0,7,39,4
cifar100,d0.5,0.15,50,0,0,0,2,18,30
cifar100,d0.5,0.2,50,1,0,0,0,3,46
cifar100,d0.5,0.25,50,21,0,0,0,1,28
cifar100,d0.5,0.3,50,41,0,0,0,0,9
cifar100,d5.0,0.05,50,0,0,0,26,24,0
cifar100,d5.0,0.1,50,0,0,0,4,35,11
cifar100,d5.0,0.15,50,0,0,0,0,5,45
cifar100,d5.0,0.2,50,10,0,0,0,2,38
cifar100,d5.0,0.25,50,35,0,0,0,0,15
cifar100,d5.0,0.3,50,49,0,0,0,0,1
officehome,convnext_full_ft,0.05,50,0,0,0,11,39,0
officehome,convnext_full_ft,0.1,50,3,0,0,1,15,31
officehome,convnext_full_ft,0.15,50,18,0,0,0,2,30
officehome,convnext_full_ft,0.2,50,43,0,0,0,0,7
officehome,convnext_full_ft,0.25,50,48,0,0,0,0,2
officehome,convnext_full_ft,0.3,50,50,0,0,0,0,0
officehome,convnext_frozen_linear,0.05,50,0,0,0,6,44,0
officehome,convnext_frozen_linear,0.1,50,0,0,0,0,14,36
officehome,convnext_frozen_linear,0.15,50,18,0,0,0,1,31
officehome,convnext_frozen_linear,0.2,50,45,0,0,0,0,5
officehome,convnext_frozen_linear,0.25,50,50,0,0,0,0,0
officehome,convnext_frozen_linear,0.3,50,50,0,0,0,0,0
