dataset,condition,d,arm,alpha,n_cells,legacy_certified,theorem_certified,legacy_cert_rate,theorem_cert_rate,legacy_EffectiveCertCov,theorem_EffectiveCertCov,legacy_CondCertCov,theorem_CondCertCov,gained_certifications,lost_certifications,selection_changed
cifar10,d0.1,0.1,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar10,d0.1,0.1,proser_fedavg,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar10,d0.1,0.1,proser_fedavg,0.15,50.0,2.0,2.0,0.04,0.04,0.005793650250161059,0.006098405374768796,0.1448412562540265,0.1524601343692199,0.0,0.0,0.0
cifar10,d0.1,0.1,proser_fedavg,0.2,50.0,7.0,7.0,0.14,0.14,0.019108694582681336,0.02013646601824418,0.13649067559058098,0.14383190013031558,0.0,0.0,0.0
cifar10,d0.1,0.1,proser_fedavg,0.25,50.0,18.0,18.0,0.36,0.36,0.05124493384680907,0.05375808635420651,0.1423470384633585,0.14932801765057363,0.0,0.0,0.0
cifar10,d0.1,0.1,proser_fedavg,0.3,50.0,22.0,22.0,0.44,0.44,0.0832081866792636,0.08669550094332502,0.18910951518014452,0.19703522941664772,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.1,50.0,2.0,2.0,0.04,0.04,0.008523269027445358,0.008881320934527683,0.21308172568613398,0.22203302336319208,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.15,50.0,10.0,10.0,0.2,0.2,0.04391576538551263,0.045687150448576366,0.21957882692756314,0.22843575224288185,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.2,50.0,25.0,25.0,0.5,0.5,0.1363165376425962,0.14106382025454664,0.2726330752851924,0.2821276405090933,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.25,50.0,33.0,33.0,0.66,0.66,0.23797097587405486,0.24466982192265416,0.36056208465765893,0.3707118513979608,0.0,0.0,0.0
cifar10,d0.5,0.5,proser_fedavg,0.3,50.0,46.0,46.0,0.92,0.92,0.37944489336751275,0.3888541934078534,0.4124401014864269,0.4226676015302754,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.1,50.0,4.0,4.0,0.08,0.08,0.01306358163409806,0.013700770092825445,0.16329477042622575,0.1712596261603181,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.15,50.0,22.0,22.0,0.44,0.44,0.09898811711310472,0.10291384623345444,0.22497299343887434,0.2338951050760328,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.2,50.0,34.0,34.0,0.68,0.68,0.2199235465905282,0.22677942177889204,0.3234169802801885,0.33349914967484123,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.25,50.0,43.0,43.0,0.86,0.86,0.362190798485784,0.3713160766504263,0.4211520912625395,0.4317628798260771,0.0,0.0,0.0
cifar10,d5,5.0,proser_fedavg,0.3,50.0,50.0,50.0,1.0,1.0,0.4941727003267389,0.5046661741997748,0.4941727003267389,0.5046661741997748,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.25,50.0,1.0,1.0,0.02,0.02,0.0005619177098642992,0.0006300809507569387,0.028095885493214956,0.031504047537846934,0.0,0.0,0.0
cifar100,d0.1,0.1,proser_fedavg,0.3,50.0,11.0,11.0,0.22,0.22,0.01330942737649429,0.014396484911458283,0.060497397165883135,0.06543856777935582,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.2,50.0,1.0,1.0,0.02,0.02,0.0012785192068609152,0.001382268175791189,0.06392596034304576,0.06911340878955945,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.25,50.0,21.0,21.0,0.42,0.42,0.04426004225738102,0.04699157806397022,0.10538105299376432,0.11188470967611956,0.0,0.0,0.0
cifar100,d0.5,0.5,proser_fedavg,0.3,50.0,41.0,41.0,0.82,0.82,0.11710584528007355,0.12318822190908695,0.14281200643911404,0.15022953891352067,0.0,0.0,0.0
cifar100,d5,5.0,proser_fedavg,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d5,5.0,proser_fedavg,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d5,5.0,proser_fedavg,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
cifar100,d5,5.0,proser_fedavg,0.2,50.0,10.0,10.0,0.2,0.2,0.018366372019463572,0.019583965676134105,0.09183186009731786,0.09791982838067052,0.0,0.0,0.0
cifar100,d5,5.0,proser_fedavg,0.25,50.0,35.0,35.0,0.7,0.7,0.088236627449521,0.0931882349847274,0.12605232492788715,0.13312604997818198,0.0,0.0,0.0
