kind,semantic_id,path,bytes,mtime_ns,dataset,condition,d,J
cifar,cifar100_proser_fedavg__split00__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed0__d0.1_common.npz,2064915,1784985507546887450,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split00__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed0__d0.5_common.npz,2073289,1784990327128327629,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split00__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed0__d5.0_common.npz,2073764,1784990500413108360,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split00__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed1__d0.1_common.npz,2057421,1784993436467715486,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split00__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed1__d0.5_common.npz,2072400,1784996755384398650,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split00__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed1__d5.0_common.npz,2073318,1785001685876763010,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split00__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed2__d0.1_common.npz,2061341,1785001560154957971,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split00__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed2__d0.5_common.npz,2072700,1785004575034564398,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split00__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed2__d5.0_common.npz,2074819,1785008000104972617,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split00__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed3__d0.1_common.npz,2061613,1785012614167431651,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split00__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed3__d0.5_common.npz,2068501,1785013027365785664,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split00__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed3__d5.0_common.npz,2071527,1785015721936635320,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split00__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed4__d0.1_common.npz,2060700,1785019246701201962,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split00__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed4__d0.5_common.npz,2072965,1785060666709755545,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split00__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split00__seed4__d5.0_common.npz,2075674,1785061083917975504,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split01__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed0__d0.1_common.npz,2065030,1785063855847313071,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split01__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed0__d0.5_common.npz,2074895,1785067215535213572,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split01__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed0__d5.0_common.npz,2074002,1785071877081165320,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split01__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed1__d0.1_common.npz,2057910,1785072178825490662,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split01__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed1__d0.5_common.npz,2073374,1785075138958832103,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split01__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed1__d5.0_common.npz,2070988,1785078238251093856,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split01__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed2__d0.1_common.npz,2062492,1785083093715329862,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split01__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed2__d0.5_common.npz,2073413,1785083279128526126,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split01__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed2__d5.0_common.npz,2075626,1785086431558879477,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split01__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed3__d0.1_common.npz,2062841,1785089254700437885,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split01__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed3__d0.5_common.npz,2069286,1785094298849454309,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split01__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed3__d5.0_common.npz,2073721,1785094388477616231,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split01__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed4__d0.1_common.npz,2058342,1785097714023623040,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split01__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed4__d0.5_common.npz,2072631,1785100260473991693,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split01__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split01__seed4__d5.0_common.npz,2075155,1785105526529688615,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split02__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed0__d0.1_common.npz,2063275,1785105484329604178,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split02__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed0__d0.5_common.npz,2073616,1785109017579000674,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split02__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed0__d5.0_common.npz,2072290,1785111284091348120,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split02__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed1__d0.1_common.npz,2059117,1785116596732364416,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split02__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed1__d0.5_common.npz,2074738,1785116746932631816,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split02__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed1__d5.0_common.npz,2071288,1785120342374024996,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split02__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed2__d0.1_common.npz,2063710,1785122317537050177,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split02__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed2__d0.5_common.npz,2072499,1785127706306668123,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split02__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed2__d5.0_common.npz,2074075,1785127969266818719,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split02__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed3__d0.1_common.npz,2063420,1785141719707003021,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split02__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed3__d0.5_common.npz,2069975,1785143565255362952,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split02__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed3__d5.0_common.npz,2072522,1785149142682332814,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split02__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed4__d0.1_common.npz,2059889,1785149181878252887,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split02__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed4__d0.5_common.npz,2072396,1785152830934856611,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split02__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split02__seed4__d5.0_common.npz,2075384,1785154905506283964,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split03__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed0__d0.1_common.npz,2065354,1785160372647012862,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split03__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed0__d0.5_common.npz,2074106,1785160224943618488,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split03__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed0__d5.0_common.npz,2074085,1785163967383701401,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split03__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed1__d0.1_common.npz,2058451,1785166241317795595,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split03__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed1__d0.5_common.npz,2072418,1785171257774895196,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split03__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed1__d5.0_common.npz,2071174,1785171620982245289,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split03__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed2__d0.1_common.npz,2060544,1785175085933796779,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split03__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed2__d0.5_common.npz,2072798,1785177579660525345,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split03__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed2__d5.0_common.npz,2074773,1785182286274922803,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split03__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed3__d0.1_common.npz,2062664,1785182855441413411,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split03__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed3__d0.5_common.npz,2068829,1785186218212016286,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split03__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed3__d5.0_common.npz,2073346,1785188923448325220,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split03__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed4__d0.1_common.npz,2059791,1785193324639557939,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split03__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed4__d0.5_common.npz,2072983,1785194080973654576,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split03__seed4__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split03__seed4__d5.0_common.npz,2075646,1785197358317619671,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split04__seed0__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed0__d0.1_common.npz,2064989,1785200258803806126,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split04__seed0__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed0__d0.5_common.npz,2073413,1785204368851847206,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split04__seed0__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed0__d5.0_common.npz,2072325,1785205319066547005,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split04__seed1__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed1__d0.1_common.npz,2056934,1785208487230770091,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split04__seed1__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed1__d0.5_common.npz,2072086,1785211589096278256,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split04__seed1__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed1__d5.0_common.npz,2069662,1785215425505484918,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split04__seed2__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed2__d0.1_common.npz,2064201,1785216560823536584,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split04__seed2__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed2__d0.5_common.npz,2074200,1785219615153923132,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split04__seed2__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed2__d5.0_common.npz,2075023,1785222933604909529,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split04__seed3__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed3__d0.1_common.npz,2064017,1785226485390822038,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split04__seed3__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed3__d0.5_common.npz,2068728,1785227804893086343,cifar100,d0.5,0.5,5
cifar,cifar100_proser_fedavg__split04__seed3__d5.0,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed3__d5.0_common.npz,2071672,1785230771022280608,cifar100,d5,5.0,5
cifar,cifar100_proser_fedavg__split04__seed4__d0.1,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed4__d0.1_common.npz,2060175,1785234268349703719,cifar100,d0.1,0.1,5
cifar,cifar100_proser_fedavg__split04__seed4__d0.5,results/confirmatory_400r/runs/cifar100_proser_fedavg__split04__seed4__d0.5_common.npz,2072939,1785237519235405396,cifar100,d0.5,0.5,5
