semantic_id,dataset,pipeline_id,implementation_label,backbone,input_res,arm,aggregation,lpd,gdca_ot,split_id,train_rep,d,paired_block,reuse_class,seed_class_split,seed_training_initialization,seed_base_data_permutation,seed_augmentation,seed_minibatch_order,seed_client_schedule,seed_Dirichlet_partition,seed_proposal_fold,seed_certification_reservoir,seed_primary_audit_draw,seed_secondary_audit_redraw,seed_traffic_draw,seed_evaluation
cifar10_proser_fedavg__split00__seed0__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,0,0.1,cifar10__split00__seed0,fresh_training,102109232,3865239680,2883142971,2219672654,556507987,424135404,3698309823,219817215,3760029205,3409906855,3620098958,1918132926,596940623
cifar10_proser_fedavg__split00__seed0__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,0,0.5,cifar10__split00__seed0,fresh_training,102109232,3865239680,2883142971,2219672654,556507987,424135404,3698309823,219817215,3760029205,3409906855,3620098958,1918132926,596940623
cifar10_proser_fedavg__split00__seed0__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,0,5.0,cifar10__split00__seed0,fresh_training,102109232,3865239680,2883142971,2219672654,556507987,424135404,3698309823,219817215,3760029205,3409906855,3620098958,1918132926,596940623
cifar10_proser_fedavg__split00__seed1__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,1,0.1,cifar10__split00__seed1,fresh_training,258296842,3587590432,3060057501,3689535398,2305236529,2872905153,2569711044,3473550699,1131343495,3180620588,1412408978,898485134,3290504687
cifar10_proser_fedavg__split00__seed1__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,1,0.5,cifar10__split00__seed1,fresh_training,258296842,3587590432,3060057501,3689535398,2305236529,2872905153,2569711044,3473550699,1131343495,3180620588,1412408978,898485134,3290504687
cifar10_proser_fedavg__split00__seed1__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,1,5.0,cifar10__split00__seed1,fresh_training,258296842,3587590432,3060057501,3689535398,2305236529,2872905153,2569711044,3473550699,1131343495,3180620588,1412408978,898485134,3290504687
cifar10_proser_fedavg__split00__seed2__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,2,0.1,cifar10__split00__seed2,fresh_training,186015601,4127180481,1563057024,4040864604,308523296,4291120944,60355509,3670777154,3691689095,1752956387,3589840733,1385271832,1583293731
cifar10_proser_fedavg__split00__seed2__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,2,0.5,cifar10__split00__seed2,fresh_training,186015601,4127180481,1563057024,4040864604,308523296,4291120944,60355509,3670777154,3691689095,1752956387,3589840733,1385271832,1583293731
cifar10_proser_fedavg__split00__seed2__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,2,5.0,cifar10__split00__seed2,fresh_training,186015601,4127180481,1563057024,4040864604,308523296,4291120944,60355509,3670777154,3691689095,1752956387,3589840733,1385271832,1583293731
cifar10_proser_fedavg__split00__seed3__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,3,0.1,cifar10__split00__seed3,fresh_training,2238609934,2666876875,1658708108,871301865,133707148,1984679286,1569845702,188566284,2913106715,10848192,3013665165,4105757947,3173038925
cifar10_proser_fedavg__split00__seed3__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,3,0.5,cifar10__split00__seed3,fresh_training,2238609934,2666876875,1658708108,871301865,133707148,1984679286,1569845702,188566284,2913106715,10848192,3013665165,4105757947,3173038925
cifar10_proser_fedavg__split00__seed3__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,3,5.0,cifar10__split00__seed3,fresh_training,2238609934,2666876875,1658708108,871301865,133707148,1984679286,1569845702,188566284,2913106715,10848192,3013665165,4105757947,3173038925
cifar10_proser_fedavg__split00__seed4__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,4,0.1,cifar10__split00__seed4,fresh_training,2783717195,2342145456,933165769,158016765,1430890781,1180383248,3332942899,3342082080,1922150372,4275751143,2580731688,1291077888,3225917258
cifar10_proser_fedavg__split00__seed4__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,4,0.5,cifar10__split00__seed4,fresh_training,2783717195,2342145456,933165769,158016765,1430890781,1180383248,3332942899,3342082080,1922150372,4275751143,2580731688,1291077888,3225917258
cifar10_proser_fedavg__split00__seed4__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_00,4,5.0,cifar10__split00__seed4,fresh_training,2783717195,2342145456,933165769,158016765,1430890781,1180383248,3332942899,3342082080,1922150372,4275751143,2580731688,1291077888,3225917258
cifar10_proser_fedavg__split01__seed0__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,0,0.1,cifar10__split01__seed0,fresh_training,1228971514,830753846,3910870989,1532270702,1471949119,2731586128,1252600743,1100728071,2019909692,2783490910,2211698480,2456436231,2881633264
cifar10_proser_fedavg__split01__seed0__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,0,0.5,cifar10__split01__seed0,fresh_training,1228971514,830753846,3910870989,1532270702,1471949119,2731586128,1252600743,1100728071,2019909692,2783490910,2211698480,2456436231,2881633264
cifar10_proser_fedavg__split01__seed0__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,0,5.0,cifar10__split01__seed0,fresh_training,1228971514,830753846,3910870989,1532270702,1471949119,2731586128,1252600743,1100728071,2019909692,2783490910,2211698480,2456436231,2881633264
cifar10_proser_fedavg__split01__seed1__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,1,0.1,cifar10__split01__seed1,fresh_training,3535986209,3996978467,3409581928,3230552979,2679114687,1884110716,63133613,827441187,1461270803,3999345152,4015551230,520538792,835545991
cifar10_proser_fedavg__split01__seed1__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,1,0.5,cifar10__split01__seed1,fresh_training,3535986209,3996978467,3409581928,3230552979,2679114687,1884110716,63133613,827441187,1461270803,3999345152,4015551230,520538792,835545991
cifar10_proser_fedavg__split01__seed1__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,1,5.0,cifar10__split01__seed1,fresh_training,3535986209,3996978467,3409581928,3230552979,2679114687,1884110716,63133613,827441187,1461270803,3999345152,4015551230,520538792,835545991
cifar10_proser_fedavg__split01__seed2__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,2,0.1,cifar10__split01__seed2,fresh_training,1216480471,3496567269,2138286292,4070283559,4198116065,926977568,456673550,2011553629,1259294377,776235959,2577111437,4200942004,2110861353
cifar10_proser_fedavg__split01__seed2__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,2,0.5,cifar10__split01__seed2,fresh_training,1216480471,3496567269,2138286292,4070283559,4198116065,926977568,456673550,2011553629,1259294377,776235959,2577111437,4200942004,2110861353
cifar10_proser_fedavg__split01__seed2__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,2,5.0,cifar10__split01__seed2,fresh_training,1216480471,3496567269,2138286292,4070283559,4198116065,926977568,456673550,2011553629,1259294377,776235959,2577111437,4200942004,2110861353
cifar10_proser_fedavg__split01__seed3__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,3,0.1,cifar10__split01__seed3,fresh_training,3312628391,3555156592,3808767578,2621155345,1461657744,2511329918,3675631527,4246082950,1011843821,3688545234,189006848,524242476,3243650663
cifar10_proser_fedavg__split01__seed3__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,3,0.5,cifar10__split01__seed3,fresh_training,3312628391,3555156592,3808767578,2621155345,1461657744,2511329918,3675631527,4246082950,1011843821,3688545234,189006848,524242476,3243650663
cifar10_proser_fedavg__split01__seed3__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,3,5.0,cifar10__split01__seed3,fresh_training,3312628391,3555156592,3808767578,2621155345,1461657744,2511329918,3675631527,4246082950,1011843821,3688545234,189006848,524242476,3243650663
cifar10_proser_fedavg__split01__seed4__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,4,0.1,cifar10__split01__seed4,fresh_training,484211396,2591181513,3009782545,3689042316,1824052674,2391227065,3162493068,4248029968,3169454164,4178169859,1135463606,1587372926,3293176082
cifar10_proser_fedavg__split01__seed4__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,4,0.5,cifar10__split01__seed4,fresh_training,484211396,2591181513,3009782545,3689042316,1824052674,2391227065,3162493068,4248029968,3169454164,4178169859,1135463606,1587372926,3293176082
cifar10_proser_fedavg__split01__seed4__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_01,4,5.0,cifar10__split01__seed4,fresh_training,484211396,2591181513,3009782545,3689042316,1824052674,2391227065,3162493068,4248029968,3169454164,4178169859,1135463606,1587372926,3293176082
cifar10_proser_fedavg__split02__seed0__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,0,0.1,cifar10__split02__seed0,fresh_training,4274514747,1762824454,2327749630,1405640681,1342452983,2336172147,3528001977,3491711383,2177373033,705208115,3826982570,862174844,622233070
cifar10_proser_fedavg__split02__seed0__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,0,0.5,cifar10__split02__seed0,fresh_training,4274514747,1762824454,2327749630,1405640681,1342452983,2336172147,3528001977,3491711383,2177373033,705208115,3826982570,862174844,622233070
cifar10_proser_fedavg__split02__seed0__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,0,5.0,cifar10__split02__seed0,fresh_training,4274514747,1762824454,2327749630,1405640681,1342452983,2336172147,3528001977,3491711383,2177373033,705208115,3826982570,862174844,622233070
cifar10_proser_fedavg__split02__seed1__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,1,0.1,cifar10__split02__seed1,fresh_training,3458403844,2928390364,1354434470,4158624920,1441589882,286500561,1345449285,2425396399,651312806,364116490,1692744352,1191820181,722981002
cifar10_proser_fedavg__split02__seed1__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,1,0.5,cifar10__split02__seed1,fresh_training,3458403844,2928390364,1354434470,4158624920,1441589882,286500561,1345449285,2425396399,651312806,364116490,1692744352,1191820181,722981002
cifar10_proser_fedavg__split02__seed1__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,1,5.0,cifar10__split02__seed1,fresh_training,3458403844,2928390364,1354434470,4158624920,1441589882,286500561,1345449285,2425396399,651312806,364116490,1692744352,1191820181,722981002
cifar10_proser_fedavg__split02__seed2__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,2,0.1,cifar10__split02__seed2,fresh_training,3093476929,1669013110,3022422784,4068838068,804392662,1425124365,1471053466,1918760789,1098489177,401018107,2269136384,4236684755,2398483409
cifar10_proser_fedavg__split02__seed2__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,2,0.5,cifar10__split02__seed2,fresh_training,3093476929,1669013110,3022422784,4068838068,804392662,1425124365,1471053466,1918760789,1098489177,401018107,2269136384,4236684755,2398483409
cifar10_proser_fedavg__split02__seed2__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,2,5.0,cifar10__split02__seed2,fresh_training,3093476929,1669013110,3022422784,4068838068,804392662,1425124365,1471053466,1918760789,1098489177,401018107,2269136384,4236684755,2398483409
cifar10_proser_fedavg__split02__seed3__d0.1,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,3,0.1,cifar10__split02__seed3,fresh_training,2407947887,1280768563,2144439588,2260680654,833001242,220351494,447774852,526684440,3789767449,4284297689,644537379,3430077065,1422591174
cifar10_proser_fedavg__split02__seed3__d0.5,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,3,0.5,cifar10__split02__seed3,fresh_training,2407947887,1280768563,2144439588,2260680654,833001242,220351494,447774852,526684440,3789767449,4284297689,644537379,3430077065,1422591174
cifar10_proser_fedavg__split02__seed3__d5.0,cifar10,cifar10_proser_fedavg,WRN28_10_PROSER_FEDAVG,wide_resnet_28_10,32x32,proser_fedavg,fedavg,False,False,cifar10_split_02,3,5.0,cifar10__split02__seed3,fresh_training,2407947887,1280768563,2144439588,2260680654,833001242,220351494,447774852,526684440,3789767449,4284297689,644537379,3430077065,1422591174
