posthoc_rank,semantic_id,dataset,condition,d,J,B1000_validity,B10000_cover_count,B10000,B10000_empirical_bound_validity,wilson95_low,wilson95_high,exact_CP95_low,exact_CP95_high,true_worst_client_risk,mean_ucb,ucb_q05,ucb_q50,ucb_q95,selector_score,selector_gamma,target
1,officehome_convnext_frozen__split09__seed1,officehome,frozen,,4,0.953,9570,10000,0.957,0.9528454785994191,0.9608035468897822,0.9528388184901422,0.9608922970801471,0.3036093418259023,0.35184906244794584,0.3054577461915543,0.3519741366392534,0.39870268889407906,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
2,officehome_convnext_full__split09__seed0,officehome,full,,4,0.953,9557,10000,0.9557,0.9514891532136892,0.959560870671276,0.9514823524412526,0.9596495892132457,0.2685337726523888,0.3087444823187744,0.2699755009995702,0.30862164397386116,0.34877847706848736,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
3,officehome_convnext_full__split09__seed3,officehome,full,,4,0.955,9598,10000,0.9598,0.955770211358904,0.9634766637394218,0.9557638563639985,0.9635654685995816,0.2452504317789292,0.2857800352258493,0.24733775004848424,0.2855754402853286,0.32448262792938815,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
4,officehome_convnext_frozen__split09__seed4,officehome,frozen,,4,0.956,9614,10000,0.9614,0.9574437245117112,0.9650019217918283,0.9574375453282491,0.9650907486366185,0.29094827586206895,0.33870023021508333,0.29418663376385207,0.33834901403224565,0.38495814483802043,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
5,officehome_convnext_frozen__split09__seed0,officehome,frozen,,4,0.959,9582,10000,0.9582,0.9540983478952283,0.9619497559978838,0.954091818174033,0.9620385319846708,0.2908704883227176,0.3382011435020659,0.29324221049197047,0.3379979122953263,0.38486690390445955,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
6,officehome_convnext_frozen__split09__seed3,officehome,frozen,,4,0.959,9584,10000,0.9584,0.9543072437610572,0.9621407065327064,0.9543007358245469,0.9622294864832109,0.28663793103448276,0.3345005356470463,0.28947140287527384,0.33412635919205474,0.3813746852355244,margin,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
7,officehome_convnext_frozen__split09__seed2,officehome,frozen,,4,0.965,9543,10000,0.9543,0.9500295537216406,0.9582215453587628,0.9500226021084696,0.9583102258124109,0.28199566160520606,0.3292458405523614,0.2833031386209534,0.32946505276449706,0.3750338155310046,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
8,officehome_convnext_full__split00__seed0,officehome,full,,4,0.975,9705,10000,0.9705,0.9669987234833,0.9736399340498934,0.9669935710249329,0.9737287124878532,0.24717285945072698,0.28690787635178744,0.2517551649222494,0.2866459580675413,0.3243964500862664,energy,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
9,cifar100_proser_fedavg__split05__seed4__d0.1,cifar100,d0.1,0.1,5,0.977,9808,10000,0.9808,0.9779199518220696,0.9833107953446878,0.9779160577339836,0.9833988751589181,0.3333333333333333,0.4358404690592187,0.3510716201013204,0.43342866745537023,0.5270612636236967,margin,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
10,officehome_convnext_full__split09__seed2,officehome,full,,4,0.977,9673,10000,0.9673,0.9636308096203245,0.9706103055024411,0.963625290022279,0.9706991408026371,0.2575039494470774,0.29744209567837565,0.2614047756562862,0.2967061369603737,0.3348063499838382,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
11,officehome_convnext_frozen__split07__seed2,officehome,frozen,,4,0.983,9804,10000,0.9804,0.9774928664489052,0.9829381879165487,0.9774889202156795,0.9830263172498769,0.2926315789473684,0.3431177194587626,0.3021762119374676,0.34266850845382835,0.3847698088165504,margin,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
12,cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,5,0.987,9901,10000,0.9901,0.9879626060188439,0.9918609987782189,0.9879601014538684,0.9919466907210747,0.27472527472527475,0.3479851627163493,0.2925897653701578,0.3455999803104308,0.41249363346417445,proser,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
13,officehome_convnext_frozen__split06__seed2,officehome,frozen,,4,0.987,9824,10000,0.9824,0.9796314012650262,0.9847981171069451,0.9796277197775645,0.9848859710446147,0.27191011235955054,0.3208962817588636,0.28097183423461064,0.319306027772448,0.36555597883465785,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
14,officehome_convnext_full__split03__seed3,officehome,full,,4,0.988,9844,10000,0.9844,0.981778519157636,0.9866494632208525,0.981775114275101,0.9867369594319884,0.24333333333333335,0.28600932506562643,0.25135562705514264,0.2853888657379508,0.3226863104066217,msp,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
15,officehome_convnext_full__split09__seed1,officehome,full,,4,0.989,9868,10000,0.9868,0.9843687849423521,0.9888573542439572,0.9843657334963207,0.9889442709405152,0.24593128390596744,0.2896349698421426,0.25529726306486106,0.28818595027227856,0.32858152556946707,energy,1.0,source-deduplicated empirical-reservoir conditional worst-client risk
