semantic_id,client,seed
officehome_convnext_frozen__split09__seed1,0,909192962
officehome_convnext_frozen__split09__seed1,1,2609240075
officehome_convnext_frozen__split09__seed1,2,2814490492
officehome_convnext_frozen__split09__seed1,3,317282539
officehome_convnext_full__split09__seed0,0,1793420055
officehome_convnext_full__split09__seed0,1,2310792342
officehome_convnext_full__split09__seed0,2,2257358835
officehome_convnext_full__split09__seed0,3,70432830
officehome_convnext_full__split09__seed3,0,3280918737
officehome_convnext_full__split09__seed3,1,3617140434
officehome_convnext_full__split09__seed3,2,2622016944
officehome_convnext_full__split09__seed3,3,4151149435
officehome_convnext_frozen__split09__seed4,0,1075866312
officehome_convnext_frozen__split09__seed4,1,1447605541
officehome_convnext_frozen__split09__seed4,2,748880508
officehome_convnext_frozen__split09__seed4,3,3948751218
officehome_convnext_frozen__split09__seed0,0,4208478660
officehome_convnext_frozen__split09__seed0,1,960874676
officehome_convnext_frozen__split09__seed0,2,3088304949
officehome_convnext_frozen__split09__seed0,3,1786396624
officehome_convnext_frozen__split09__seed3,0,2780895667
officehome_convnext_frozen__split09__seed3,1,2247025546
officehome_convnext_frozen__split09__seed3,2,522408652
officehome_convnext_frozen__split09__seed3,3,3348016571
officehome_convnext_frozen__split09__seed2,0,1762672606
officehome_convnext_frozen__split09__seed2,1,2851087654
officehome_convnext_frozen__split09__seed2,2,3703090274
officehome_convnext_frozen__split09__seed2,3,3220495225
officehome_convnext_full__split00__seed0,0,3313142769
officehome_convnext_full__split00__seed0,1,3552504615
officehome_convnext_full__split00__seed0,2,2661144089
officehome_convnext_full__split00__seed0,3,1135419855
cifar100_proser_fedavg__split05__seed4__d0.1,0,2473646385
cifar100_proser_fedavg__split05__seed4__d0.1,1,406746934
cifar100_proser_fedavg__split05__seed4__d0.1,2,3040230849
cifar100_proser_fedavg__split05__seed4__d0.1,3,2095382878
cifar100_proser_fedavg__split05__seed4__d0.1,4,1495970660
officehome_convnext_full__split09__seed2,0,2235352713
officehome_convnext_full__split09__seed2,1,997099110
officehome_convnext_full__split09__seed2,2,2858764070
officehome_convnext_full__split09__seed2,3,3823424871
officehome_convnext_frozen__split07__seed2,0,4094805675
officehome_convnext_frozen__split07__seed2,1,1819784018
officehome_convnext_frozen__split07__seed2,2,2338171431
officehome_convnext_frozen__split07__seed2,3,1427059932
cifar100_proser_fedavg__split00__seed2__d5.0,0,1829845982
cifar100_proser_fedavg__split00__seed2__d5.0,1,3997081445
cifar100_proser_fedavg__split00__seed2__d5.0,2,1617067434
cifar100_proser_fedavg__split00__seed2__d5.0,3,815857744
cifar100_proser_fedavg__split00__seed2__d5.0,4,224004078
officehome_convnext_frozen__split06__seed2,0,1531957355
officehome_convnext_frozen__split06__seed2,1,3345955445
officehome_convnext_frozen__split06__seed2,2,3357788693
officehome_convnext_frozen__split06__seed2,3,707554647
officehome_convnext_full__split03__seed3,0,1829838624
officehome_convnext_full__split03__seed3,1,1196029877
officehome_convnext_full__split03__seed3,2,3952268482
officehome_convnext_full__split03__seed3,3,2149888607
officehome_convnext_full__split09__seed1,0,4207340233
officehome_convnext_full__split09__seed1,1,2945112588
officehome_convnext_full__split09__seed1,2,3977815905
officehome_convnext_full__split09__seed1,3,663165707
officehome_convnext_frozen__split00__seed0,0,3567251581
officehome_convnext_frozen__split00__seed0,1,3223349011
officehome_convnext_frozen__split00__seed0,2,3394860860
officehome_convnext_frozen__split00__seed0,3,2453805063
officehome_convnext_frozen__split06__seed4,0,263219145
officehome_convnext_frozen__split06__seed4,1,947411531
officehome_convnext_frozen__split06__seed4,2,4248309625
officehome_convnext_frozen__split06__seed4,3,1493779076
officehome_convnext_frozen__split07__seed1,0,361344784
officehome_convnext_frozen__split07__seed1,1,1005336862
officehome_convnext_frozen__split07__seed1,2,4252798928
officehome_convnext_frozen__split07__seed1,3,2100989254
officehome_convnext_full__split06__seed0,0,1339272069
officehome_convnext_full__split06__seed0,1,3993850393
officehome_convnext_full__split06__seed0,2,3187543112
officehome_convnext_full__split06__seed0,3,2595427891
officehome_convnext_frozen__split01__seed2,0,4274359517
officehome_convnext_frozen__split01__seed2,1,236131984
officehome_convnext_frozen__split01__seed2,2,3529818500
officehome_convnext_frozen__split01__seed2,3,796789632
