semantic_id,dataset,condition,d,arm,method,validity_status,alpha,delta_r,delta_c,J,selector_score,selector_gamma,selector_threshold,selector_proposal_feasible,selector_prop_coverage,selector_prop_risk,true_worst_client_risk,true_min_client_coverage,simulation_seed,B,ucb_coverage_count,empirical_ucb_coverage,certified_count,cert_rate,unsafe_certified_count,unsafe_cert_rate,unsafe_given_cert_rate,EffectiveCertCov,CondCertCov,effective_true_min_coverage,mean_ucb,ucb_q05,ucb_q50,ucb_q95,posthoc_rank
officehome_convnext_frozen__split09__seed1,officehome,frozen,,convnext_frozen_linear,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.7776486561556922,1,0.4046538024971623,0.1977559607293127,0.3036093418259023,0.2887798896382587,2510814331,1000,953,0.953,0,0.0,0,0.0,,0.0,,0.0,0.3513618082399415,0.3044568847005089,0.3512344806230775,0.4018036925776831,1
officehome_convnext_full__split09__seed0,officehome,full,,convnext_full_ft,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.921937827703442,1,0.438138479001135,0.1981865284974093,0.2685337726523888,0.3614318706697459,2839590600,1000,953,0.953,0,0.0,0,0.0,,0.0,,0.0,0.3096692081099449,0.269942703372704,0.3097585834868507,0.3467055532776786,2
officehome_convnext_full__split09__seed3,officehome,full,,convnext_full_ft,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.9267546732730362,1,0.4313280363223609,0.1986842105263158,0.2452504317789292,0.3533487297921478,3869548148,1000,955,0.955,0,0.0,0,0.0,,0.0,,0.0,0.2856954148199228,0.2459942080300995,0.2857312280853992,0.3241157349137416,3
officehome_convnext_frozen__split09__seed4,officehome,frozen,,convnext_frozen_linear,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.774585914785391,1,0.4046538024971623,0.1991584852734922,0.2909482758620689,0.2844880441446965,1436306616,1000,956,0.956,0,0.0,0,0.0,,0.0,,0.0,0.3374771742459553,0.2925575958339243,0.3368106092584264,0.3854782161864737,4
officehome_convnext_frozen__split09__seed0,officehome,frozen,,convnext_frozen_linear,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.7857526719253214,1,0.4012485811577752,0.1994342291371994,0.2908704883227176,0.2887798896382587,1777506923,1000,959,0.959,0,0.0,0,0.0,,0.0,,0.0,0.3368943132730049,0.2932390615566221,0.3363807265950095,0.3827258865183497,5
officehome_convnext_frozen__split09__seed3,officehome,frozen,,convnext_frozen_linear,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,margin,1.0,0.7035904984548862,1,0.4012485811577752,0.1966053748231966,0.2866379310344827,0.2844880441446965,3088955003,1000,959,0.959,0,0.0,0,0.0,,0.0,,0.0,0.3348226313667644,0.2897239544476788,0.3338662717497144,0.3816445164213892,6
officehome_convnext_frozen__split09__seed2,officehome,frozen,,convnext_frozen_linear,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.7866774923207458,1,0.4012485811577752,0.1966053748231966,0.281995661605206,0.2826486817903127,1831240546,1000,965,0.965,0,0.0,0,0.0,,0.0,,0.0,0.3286525283550137,0.2861629643533722,0.3277452174894594,0.3754424740632444,7
officehome_convnext_full__split00__seed0,officehome,full,,convnext_full_ft,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,energy,1.0,7.313842995005036,1,0.4615829000577701,0.1964956195244055,0.2471728594507269,0.3724304715840387,4006581794,1000,975,0.975,0,0.0,0,0.0,,0.0,,0.0,0.2880232717863557,0.2517539587731496,0.2878425530844862,0.3256729161484258,8
cifar100_proser_fedavg__split05__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.983125198644938,1,0.1507288629737609,0.1856866537717601,0.3333333333333333,0.1274319066147859,328308239,1000,977,0.977,0,0.0,0,0.0,,0.0,,0.0,0.4336489783879674,0.3495330080077958,0.4302262455838973,0.5198509205303291,9
officehome_convnext_full__split09__seed2,officehome,full,,convnext_full_ft,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,4,msp,1.0,0.908554402245116,1,0.438138479001135,0.1981865284974093,0.2575039494470774,0.3752886836027713,889264909,1000,977,0.977,0,0.0,0,0.0,,0.0,,0.0,0.2967704756224809,0.2611931533871264,0.2967035175643222,0.331773305536075,10
