semantic_id,dataset,condition,d,arm,client,cert_raw_n,cert_unique_n,test_raw_n,test_unique_n,cert_test_unique_overlap,combined_raw_n,reservoir_unique_n,combined_duplication_rate,unique_accepted_n,unique_accepted_error_n,true_acceptance,true_risk,audit_draw_n
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,185,45,0.17996108949416342,0.24324324324324326,514
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,214,35,0.20817120622568094,0.16355140186915887,514
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,191,47,0.1857976653696498,0.24607329842931938,514
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,185,33,0.17996108949416342,0.1783783783783784,514
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,198,38,0.1926070038910506,0.1919191919191919,514
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,246,42,0.23929961089494164,0.17073170731707318,514
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,266,48,0.2587548638132296,0.18045112781954886,514
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,288,62,0.2801556420233463,0.2152777777777778,514
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,261,45,0.2538910505836576,0.1724137931034483,514
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,277,54,0.2694552529182879,0.19494584837545126,514
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,284,53,0.27626459143968873,0.18661971830985916,514
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,306,47,0.29766536964980544,0.15359477124183007,514
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,312,65,0.3035019455252918,0.20833333333333334,514
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,303,41,0.29474708171206226,0.1353135313531353,514
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,305,51,0.29669260700389105,0.16721311475409836,514
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,98,17,0.09533073929961089,0.17346938775510204,514
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,92,18,0.08949416342412451,0.1956521739130435,514
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,94,20,0.0914396887159533,0.2127659574468085,514
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,97,19,0.0943579766536965,0.1958762886597938,514
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,103,18,0.10019455252918288,0.17475728155339806,514
