semantic_id,dataset,condition,d,arm,method,validity_status,alpha,delta_r,delta_c,J,selector_score,selector_gamma,selector_threshold,selector_proposal_feasible,selector_prop_coverage,selector_prop_risk,true_worst_client_risk,true_min_client_coverage,simulation_seed,B,ucb_coverage_count,empirical_ucb_coverage,certified_count,cert_rate,unsafe_certified_count,unsafe_cert_rate,unsafe_given_cert_rate,EffectiveCertCov,CondCertCov,effective_true_min_coverage,mean_ucb,ucb_q05,ucb_q50,ucb_q95
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9751594907862685,1,0.1772594752186589,0.19407894736842105,0.24607329842931938,0.17996108949416342,473328915,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3585827084592717,0.304754308304698,0.35596734219177434,0.4256442018746147
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9751594907862685,1,0.1772594752186589,0.19407894736842105,0.24607329842931938,0.17996108949416342,473328915,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3933731048852805,0.33780382127463393,0.38969762399499347,0.462098162433913
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9751594907862685,1,0.1772594752186589,0.19407894736842105,0.24607329842931938,0.17996108949416342,473328915,1000,302,0.302,28,0.028,28,0.028,1.0,0.004973515150354045,0.17762554108407297,0.0050389105058365755,0.23573074171689995,0.20440991741062067,0.23601997842703637,0.26676845231469803
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9968778903667743,1,0.23090379008746356,0.19696969696969696,0.2152777777777778,0.23929961089494164,1088631802,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.30103837725170346,0.25956639133516324,0.2990778284832064,0.3517446588697519
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9968778903667743,1,0.23090379008746356,0.19696969696969696,0.2152777777777778,0.23929961089494164,1088631802,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3288042266695003,0.2861734744265782,0.32718222579907513,0.38075026329518363
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9968778903667743,1,0.23090379008746356,0.19696969696969696,0.2152777777777778,0.23929961089494164,1088631802,1000,456,0.456,212,0.212,212,0.212,1.0,0.052253873312110705,0.24648053449108823,0.050731517509727625,0.21352675199170038,0.18936154684882325,0.21307963956493328,0.24008102944119913
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9976719386601528,1,0.28775510204081634,0.19858156028368795,0.20833333333333334,0.27626459143968873,2631147399,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.28452414054641134,0.24078722894490281,0.2829887610603836,0.33403297643618285
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.9976719386601528,1,0.28775510204081634,0.19858156028368795,0.20833333333333334,0.27626459143968873,2631147399,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.31057284361544507,0.265833010746295,0.309398009038042,0.36098819864721615
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.9976719386601528,1,0.28775510204081634,0.19858156028368795,0.20833333333333334,0.27626459143968873,2631147399,1000,168,0.168,653,0.653,653,0.653,1.0,0.18249178748070624,0.27946674958760526,0.18040077821011669,0.19400576467139072,0.16999247487908217,0.19354469807800803,0.21843880457459447
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.9939587022548535,1,0.09708454810495627,0.1981981981981982,0.2127659574468085,0.08949416342412451,517906988,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.38648362540210607,0.3107276162045383,0.38363348879478454,0.4690018126393048
