dataset,condition,certified_cells_evaluated,total_evaluation_accepted,total_evaluation_accepted_errors,aggregate_pooled_evaluation_risk,known_accepted_errors,unknown_false_acceptances,unknown_share_of_accepted_errors,cells_pooled_risk_above_alpha,cells_worst_client_risk_above_alpha,max_worst_client_evaluation_risk
ALL,ALL,177,130574,12978,0.09939191569531454,1598,11380,0.8768685467714594,0,3,0.22608695652173913
cifar10,ALL,63,56686,5373,0.09478530854179162,626,4747,0.8834915317327378,0,0,0.17712177121771217
cifar10,d0.1,5,2834,205,0.07233592095977417,63,142,0.6926829268292682,0,0,0.12056737588652482
cifar10,d0.5,25,20575,1929,0.09375455650060753,204,1725,0.8942457231726283,0,0,0.17712177121771217
cifar10,d5,33,33277,3239,0.09733449529705201,359,2880,0.889163322012967,0,0,0.1724137931034483
cifar100,ALL,9,3010,234,0.07774086378737542,81,153,0.6538461538461539,0,0,0.16363636363636364
cifar100,d0.5,3,680,36,0.052941176470588235,13,23,0.6388888888888888,0,0,0.08888888888888889
cifar100,d5,6,2330,198,0.08497854077253218,68,130,0.6565656565656566,0,0,0.16363636363636364
officehome,ALL,79,46204,5046,0.10921132369491819,367,4679,0.9272691240586604,0,3,0.22608695652173913
officehome,frozen,40,21374,2246,0.10508093945915599,146,2100,0.9349955476402493,0,2,0.22608695652173913
officehome,full,39,24830,2800,0.11276681433749497,221,2579,0.9210714285714285,0,1,0.20754716981132076
pathmnist,ALL,26,24674,2325,0.09422874280619276,524,1801,0.7746236559139785,0,0,0.16728624535315986
pathmnist,d0.5,14,12579,1184,0.0941251291835599,310,874,0.7381756756756757,0,0,0.16728624535315986
pathmnist,d5,12,12095,1141,0.09433650268706077,214,927,0.8124452234881683,0,0,0.15463917525773196
