semantic_id,dataset,condition,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold,selected_selector_sha256,evaluation_n,evaluation_A,evaluation_K,evaluation_coverage,pooled_evaluation_risk,worst_client_evaluation_risk,clients_with_zero_acceptance,accepted_known,known_accepted_errors,unknown_total,unknown_false_acceptances,unknown_share_of_accepted_errors,A_by_client,K_by_client,n_by_client,pooled_risk_le_alpha,worst_client_risk_le_alpha,proposal_certification_id_overlap,proposal_evaluation_id_overlap,certification_evaluation_id_overlap
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,8,margin,margin,0.3,0.9999959626325396,748731af4170032f17f6228bc89d1ae9f052f488d31927f16379dc638b129061,2570,237,14,0.09221789883268483,0.05907172995780591,0.10606060606060606,0,225,2,770,12,0.8571428571428571,"[52,41,34,66,44]","[4,0,1,7,2]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,9,margin,margin,0.5,0.9997810444305573,29aed234d910d142af82616b04937a297f85cc0b2d8f54e9eafe65fccd3ff743,2570,525,54,0.20428015564202334,0.10285714285714286,0.125,0,492,21,770,33,0.6111111111111112,"[96,104,107,102,116]","[8,13,10,11,12]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,d5,5,energy,energy,0.5,24.041739243727463,0addf4a07a84113f350c0bc3a0d0e291e884560337532bcb9836e6a0a2f8a319,2570,329,30,0.12801556420233462,0.0911854103343465,0.1111111111111111,0,308,9,770,21,0.7,"[63,70,62,78,56]","[7,7,6,7,3]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,d0.5,8,margin,margin,0.3,0.9999798879176877,6e05f4cfbf3b3734ae3e37a032ea58601c24701633cb83b2bb076650f4dd54ea,2570,185,12,0.07198443579766536,0.06486486486486487,0.08108108108108109,0,176,3,770,9,0.75,"[37,44,37,34,33]","[3,3,3,1,2]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split04__seed0__d5.0,cifar100,d5,9,margin,margin,0.5,0.9996241081917167,a990adf750a354d78bd8b6b1308906c142aadc0c31dd9120871ab1b995466cd8,2570,565,67,0.2198443579766537,0.11858407079646018,0.16363636363636364,0,522,24,770,43,0.6417910447761194,"[120,113,110,109,113]","[14,12,18,10,13]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split04__seed1__d0.5,cifar100,d0.5,0,proser,native,0.3,0.9914768362125027,d094adeabc093c655d007b9be200f642530885f3968451d5e922034136e4f384,2570,214,9,0.08326848249027237,0.04205607476635514,0.058823529411764705,0,211,6,770,3,0.3333333333333333,"[45,41,34,51,43]","[1,2,1,3,2]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split04__seed1__d5.0,cifar100,d5,0,proser,native,0.3,0.9917527594693927,c4052d17bec0e340b4f812ea6056be33c1855cc0cb9293401b8d9f9e06ba5ffc,2570,329,11,0.12801556420233462,0.03343465045592705,0.05970149253731343,0,322,4,770,7,0.6363636363636364,"[67,64,55,81,62]","[4,0,2,2,3]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split05__seed1__d5.0,cifar100,d5,0,proser,native,0.3,0.9921014388668099,eacaad915885d1ef6f80f98161973f41e029826b751c6534ab6a435b775b7dbe,2570,345,22,0.13424124513618677,0.06376811594202898,0.1206896551724138,0,331,8,770,14,0.6363636363636364,"[82,72,72,61,58]","[6,3,6,0,7]","[514,514,514,514,514]",1,1,0,0,0
cifar100_proser_fedavg__split06__seed2__d0.5,cifar100,d0.5,8,margin,margin,0.3,0.9999644431382119,b2739a291f8f89a161551815fabe633d67ad395518c38d335d46e2c1efa6949c,2570,281,15,0.10933852140077821,0.05338078291814947,0.08888888888888889,0,270,4,770,11,0.7333333333333333,"[56,54,66,45,60]","[3,2,3,4,3]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split00__seed1__d0.5,cifar10,d0.5,1,proser,native,0.5,0.9826693437171221,89888fa3bef8686d745f92f95d186ed860f05eb966c501ec237eb0d7dded169e,2570,751,65,0.29221789883268484,0.08655126498002663,0.09701492537313433,0,688,2,770,63,0.9692307692307692,"[134,137,163,166,151]","[13,13,13,13,13]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split00__seed1__d5.0,cifar10,d5,9,margin,margin,0.5,0.9999964304990991,ba8b52d943d4e35ef2fc934a480fc8ca6248042959f9ca52490ff9c7e1805d63,2570,803,86,0.3124513618677043,0.10709838107098381,0.12849162011173185,0,719,2,770,84,0.9767441860465116,"[153,140,179,172,159]","[14,16,23,20,13]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split00__seed2__d0.5,cifar10,d0.5,5,energy,energy,0.5,5.521372460202629,d6c52db3b565f283c3c7de8d2c93d50d6f751706e99e78eab8cbc7979f153b23,2570,934,82,0.36342412451361866,0.08779443254817987,0.13541666666666666,0,855,3,770,79,0.9634146341463414,"[192,187,178,190,187]","[26,14,15,16,11]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split00__seed2__d5.0,cifar10,d5,9,margin,margin,0.5,0.9999997615814209,a819c47b9286bb84be3c921f607ab4d9a58e78256fc34c32216c00835dbdaeb5,2570,722,66,0.2809338521400778,0.09141274238227147,0.11875,0,657,1,770,65,0.9848484848484849,"[160,140,127,153,142]","[19,12,10,15,10]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed0__d5.0,cifar10,d5,5,energy,energy,0.5,6.278508041215979,0e7bea9d257be74de32aba0a89e727a19f572db893a1747456e3cd2940177c5a,2570,1106,99,0.4303501945525292,0.08951175406871609,0.11,0,1024,17,770,82,0.8282828282828283,"[227,237,200,230,212]","[24,18,22,19,16]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed1__d0.1,cifar10,d0.1,4,energy,energy,0.3,0.8571146208307017,a474f13a854ae6c428b1fe680991d12d8ca209484ad104b2bb55c09b1c04bf03,2570,679,53,0.2642023346303502,0.0780559646539028,0.09420289855072464,0,646,20,770,33,0.6226415094339622,"[143,132,139,127,138]","[10,9,13,8,13]","[514,514,514,514,514]",1,1,0,0,0
