alpha,dataset,condition,procedure,N_cells,certified_cells,certification_rate,EffectiveCertCov,CondCertCov
0.05,cifar10,d0.1,B,50,0,0.0,0.0,
0.05,cifar10,d0.1,H,50,0,0.0,0.0,
0.05,cifar10,d0.1,S,50,0,0.0,0.0,
0.05,cifar10,d0.5,B,50,0,0.0,0.0,
0.05,cifar10,d0.5,H,50,0,0.0,0.0,
0.05,cifar10,d0.5,S,50,0,0.0,0.0,
0.05,cifar10,d5,B,50,0,0.0,0.0,
0.05,cifar10,d5,H,50,0,0.0,0.0,
0.05,cifar10,d5,S,50,0,0.0,0.0,
0.05,cifar100,d0.1,B,50,0,0.0,0.0,
0.05,cifar100,d0.1,H,50,0,0.0,0.0,
0.05,cifar100,d0.1,S,50,0,0.0,0.0,
0.05,cifar100,d0.5,B,50,0,0.0,0.0,
0.05,cifar100,d0.5,H,50,0,0.0,0.0,
0.05,cifar100,d0.5,S,50,0,0.0,0.0,
0.05,cifar100,d5,B,50,0,0.0,0.0,
0.05,cifar100,d5,H,50,0,0.0,0.0,
0.05,cifar100,d5,S,50,0,0.0,0.0,
0.05,officehome,frozen,B,50,0,0.0,0.0,
0.05,officehome,frozen,H,50,0,0.0,0.0,
0.05,officehome,frozen,S,50,0,0.0,0.0,
0.05,officehome,full,B,50,0,0.0,0.0,
0.05,officehome,full,H,50,0,0.0,0.0,
0.05,officehome,full,S,50,0,0.0,0.0,
0.05,pathmnist,d0.5,B,25,0,0.0,0.0,
0.05,pathmnist,d0.5,H,25,0,0.0,0.0,
0.05,pathmnist,d0.5,S,25,0,0.0,0.0,
0.05,pathmnist,d5,B,25,0,0.0,0.0,
0.05,pathmnist,d5,H,25,0,0.0,0.0,
0.05,pathmnist,d5,S,25,0,0.0,0.0,
0.1,cifar10,d0.1,B,50,0,0.0,0.0,
0.1,cifar10,d0.1,H,50,0,0.0,0.0,
0.1,cifar10,d0.1,S,50,0,0.0,0.0,
0.1,cifar10,d0.5,B,50,1,0.02,0.003941895334614223,0.19709476673071116
0.1,cifar10,d0.5,H,50,1,0.02,0.005133176845260275,0.2566588422630137
0.1,cifar10,d0.5,S,50,1,0.02,0.005133176845260275,0.2566588422630137
0.1,cifar10,d5,B,50,1,0.02,0.005489432169497944,0.2744716084748972
0.1,cifar10,d5,H,50,7,0.14,0.02752632730514546,0.19661662360818183
0.1,cifar10,d5,S,50,7,0.14,0.02752632730514546,0.19661662360818183
0.1,cifar100,d0.1,B,50,0,0.0,0.0,
0.1,cifar100,d0.1,H,50,0,0.0,0.0,
0.1,cifar100,d0.1,S,50,0,0.0,0.0,
0.1,cifar100,d0.5,B,50,0,0.0,0.0,
0.1,cifar100,d0.5,H,50,0,0.0,0.0,
