semantic_id,dataset,condition,split,repetition,S_minus_B,H_minus_S,H_minus_B
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0,0,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0,0,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0,0,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0,1,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0,1,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0,1,0.03903700895926686,0.0,0.03903700895926686
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0,2,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0,2,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0,2,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0,4,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0,4,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0,4,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,1,0,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,1,0,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,1,0,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,1,1,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,1,1,0.0,0.0,0.0
