dataset,condition,effect,N_cells,N_splits,point_difference,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,bootstrap_replicates,bootstrap_seed
cifar10,d0.1,S_minus_B,50,10,0.007615065352553043,0.0,0.022766438463500724,20000,20260825
cifar10,d0.1,H_minus_S,50,10,0.0,0.0,0.0,20000,20260825
cifar10,d0.1,H_minus_B,50,10,0.007615065352553043,0.0,0.022788002710310257,20000,20260825
cifar10,d0.5,S_minus_B,50,10,0.02725328875724697,0.010937105508711803,0.04898627877032094,20000,20260825
cifar10,d0.5,H_minus_S,50,10,0.005489878269744449,0.0,0.014971923604997184,20000,20260825
cifar10,d0.5,H_minus_B,50,10,0.03274316702699142,0.0142558021798716,0.055579892306818666,20000,20260825
cifar10,d5,S_minus_B,50,10,0.02071494070787269,0.008783680987432301,0.03497147849664963,20000,20260825
cifar10,d5,H_minus_S,50,10,0.006249342899505715,0.0,0.015610541143609918,20000,20260825
cifar10,d5,H_minus_B,50,10,0.0269642836073784,0.012116580308345426,0.043507726332692,20000,20260825
cifar100,d0.1,S_minus_B,50,10,0.0,0.0,0.0,20000,20260825
cifar100,d0.1,H_minus_S,50,10,0.0,0.0,0.0,20000,20260825
cifar100,d0.1,H_minus_B,50,10,0.0,0.0,0.0,20000,20260825
cifar100,d0.5,S_minus_B,50,10,0.0027703036419805195,0.0,0.008031827311277199,20000,20260825
cifar100,d0.5,H_minus_S,50,10,0.0,0.0,0.0,20000,20260825
cifar100,d0.5,H_minus_B,50,10,0.0027703036419805195,0.0,0.008031827311277199,20000,20260825
cifar100,d5,S_minus_B,50,10,0.005888705081972558,0.00022905129734930086,0.015218918155130589,20000,20260825
cifar100,d5,H_minus_S,50,10,3.3254685406761685e-05,0.0,0.00013301874162704674,20000,20260825
cifar100,d5,H_minus_B,50,10,0.00592195976737932,0.0002564510450985505,0.015325469975093611,20000,20260825
officehome,frozen,S_minus_B,50,10,0.030566620002725874,0.014754319107732306,0.049298210690385154,20000,20260825
officehome,frozen,H_minus_S,50,10,0.0004605796275098206,0.0,0.0018423185100392824,20000,20260825
officehome,frozen,H_minus_B,50,10,0.0310271996302357,0.01519532628644076,0.04987430180703807,20000,20260825
officehome,full,S_minus_B,50,10,0.04732197360392829,0.022809919289210914,0.07467720260964442,20000,20260825
officehome,full,H_minus_S,50,10,0.0009715945165040058,0.0,0.0023057754426447784,20000,20260825
officehome,full,H_minus_B,50,10,0.048293568120432305,0.024100355036426643,0.07472366927706227,20000,20260825
pathmnist,d0.5,S_minus_B,25,5,0.05693552396813475,0.016569309917422732,0.10821389277898105,20000,20260825
pathmnist,d0.5,H_minus_S,25,5,0.0031358488077059144,0.0,0.012543395230823658,20000,20260825
pathmnist,d0.5,H_minus_B,25,5,0.06007137277584067,0.01726449403878887,0.11300127712403062,20000,20260825
pathmnist,d5,S_minus_B,25,5,0.04538596466389217,0.006976345925652077,0.10774255968033605,20000,20260825
pathmnist,d5,H_minus_S,25,5,0.00222067283586836,0.0,0.008066716464713599,20000,20260825
pathmnist,d5,H_minus_B,25,5,0.04760663749976053,0.009268845679602712,0.11068134863277858,20000,20260825
