dataset,procedure,alpha,delta_r,delta_c,N_cells,certified_cells,certification_rate,EffectiveCertCov,CondCertCov
cifar10,H,0.2,0.05,0.05,150,63,0.42,0.11310162900873891,0.2692895928779498
cifar10,S,0.2,0.05,0.05,150,63,0.42,0.10918855528565553,0.2599727506801322
cifar10,B,0.2,0.05,0.05,150,53,0.35333333333333333,0.09066079034643129,0.2565871424898999
cifar100,H,0.2,0.05,0.05,150,9,0.06,0.0044082234449503875,0.07347039074917312
cifar100,S,0.2,0.05,0.05,150,9,0.06,0.0043971385498148,0.07328564249691333
cifar100,B,0.2,0.05,0.05,150,3,0.02,0.0015108023084971077,0.07554011542485539
officehome,H,0.2,0.05,0.05,100,79,0.79,0.10316349495866468,0.13058670247932236
officehome,S,0.2,0.05,0.05,100,79,0.79,0.10244740788665777,0.12968026314766806
officehome,B,0.2,0.05,0.05,100,55,0.55,0.06350311108333068,0.11546020196969213
pathmnist,H,0.2,0.05,0.05,50,26,0.52,0.1919596752230305,0.369153221582751
pathmnist,S,0.2,0.05,0.05,50,26,0.52,0.18928141440124335,0.3640027200023911
pathmnist,B,0.2,0.05,0.05,50,19,0.38,0.1381206700852299,0.3634754475927102
ALL,H,0.2,0.05,0.05,450,177,0.3933333333333333,0.08342402472238086,0.21209497810774794
ALL,S,0.2,0.05,0.05,450,177,0.3933333333333333,0.0816592568534411,0.20760828013586718
ALL,B,0.2,0.05,0.05,450,130,0.28888888888888886,0.06018240780185294,0.20832371931410631
