semantic_id,dataset,condition,arm,split,repetition,alpha,delta_r,delta_c,J,M,procedure,certified,coverage_lcb,effective_certified_coverage,risk_ucb,holm_raw_pvalue,holm_adjusted_pvalue,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold,selected_selector_sha256,counts_tensor_sha256,frozen_primary_audit_seed,audit_draw_law
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.05,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,,,b7f3e75b119ebe7c94109edcb6360b9a81a8f48b2b925c3ad93d4a829410879d,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.05,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,,,b7f3e75b119ebe7c94109edcb6360b9a81a8f48b2b925c3ad93d4a829410879d,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.05,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,,,b7f3e75b119ebe7c94109edcb6360b9a81a8f48b2b925c3ad93d4a829410879d,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.1,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,,,da40b49b3b4d93a919eb9e10a228dabf2813af3441b6a131fbd2cf5b64fd4c3c,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.1,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,,,da40b49b3b4d93a919eb9e10a228dabf2813af3441b6a131fbd2cf5b64fd4c3c,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.1,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,,,da40b49b3b4d93a919eb9e10a228dabf2813af3441b6a131fbd2cf5b64fd4c3c,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.15,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,,,f0002a273dff7026b683da5a7ae2a3b3dfc62c71674ebdee8eb7a3485e0c9dd8,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.15,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,,,f0002a273dff7026b683da5a7ae2a3b3dfc62c71674ebdee8eb7a3485e0c9dd8,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.15,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,,,f0002a273dff7026b683da5a7ae2a3b3dfc62c71674ebdee8eb7a3485e0c9dd8,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.2,0.05,0.05,5,12,H,0,0.0,0.0,,,,,,,,,,7008dda980ae45bf04ff83439c9724d46e0b43882a83887319b94e0f2da91a93,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.2,0.05,0.05,5,12,S,0,0.0,0.0,,,,,,,,,,7008dda980ae45bf04ff83439c9724d46e0b43882a83887319b94e0f2da91a93,683006144,iid uniform with replacement within client certification reservoir
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,,0,0,0.2,0.05,0.05,5,12,B,0,0.0,0.0,,,,,,,,,,7008dda980ae45bf04ff83439c9724d46e0b43882a83887319b94e0f2da91a93,683006144,iid uniform with replacement within client certification reservoir
