semantic_id,dataset,condition,client,reservoir_n,draw_n,unique_draw_indices,duplication_rate,max_multiplicity,draw_index_sha256
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0,514,514,325,0.36770428015564205,6,96a891fdd1c839b95dc13742ee7f9417b589620ee58bfd7475b38788b7890555
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,1,514,514,330,0.357976653696498,6,597d2af6ab9ce87f282fc005d13dab6101e56444de25c3220aa2557688b00522
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,2,514,514,333,0.35214007782101164,5,fda750658a09aa4f1615ced6d22984f55c3dc13d31146e5c1a146a38dda3aaa9
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,3,514,514,329,0.3599221789883269,5,e375c7710d7b7a05f9dad2262602eb7ad600408ee785593a4c4552177a5dd3e6
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,4,514,514,316,0.38521400778210113,6,480f1e31182efcac3f30dfc16aa6358c26ccd368a5ceb58a08fc77c0755bea85
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0,514,514,325,0.36770428015564205,6,96a891fdd1c839b95dc13742ee7f9417b589620ee58bfd7475b38788b7890555
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,1,514,514,330,0.357976653696498,6,597d2af6ab9ce87f282fc005d13dab6101e56444de25c3220aa2557688b00522
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,2,514,514,333,0.35214007782101164,5,fda750658a09aa4f1615ced6d22984f55c3dc13d31146e5c1a146a38dda3aaa9
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,3,514,514,329,0.3599221789883269,5,e375c7710d7b7a05f9dad2262602eb7ad600408ee785593a4c4552177a5dd3e6
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,4,514,514,316,0.38521400778210113,6,480f1e31182efcac3f30dfc16aa6358c26ccd368a5ceb58a08fc77c0755bea85
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0,514,514,325,0.36770428015564205,6,96a891fdd1c839b95dc13742ee7f9417b589620ee58bfd7475b38788b7890555
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,1,514,514,330,0.357976653696498,6,597d2af6ab9ce87f282fc005d13dab6101e56444de25c3220aa2557688b00522
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,2,514,514,333,0.35214007782101164,5,fda750658a09aa4f1615ced6d22984f55c3dc13d31146e5c1a146a38dda3aaa9
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,3,514,514,329,0.3599221789883269,5,e375c7710d7b7a05f9dad2262602eb7ad600408ee785593a4c4552177a5dd3e6
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,4,514,514,316,0.38521400778210113,6,480f1e31182efcac3f30dfc16aa6358c26ccd368a5ceb58a08fc77c0755bea85
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0,514,514,332,0.35408560311284043,6,d2193dd852848aa913aa9fae965419c56f6ee040465def0aacf908830e16edf3
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,1,514,514,321,0.3754863813229572,5,d5899b23c2ec2d9ad90968a5a40145c4375a9833b88b6c2d4f42d2906ada60d0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,2,514,514,330,0.357976653696498,5,b4bffd65a5c99d6ff1b596defc11c81f27bfdbc77892e031931ce4f74e3eb67c
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,3,514,514,326,0.36575875486381326,5,041756e42693587d70834827f0cafb68945947b4bc64f60405d7ddb7ef7cd491
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,4,514,514,327,0.3638132295719845,6,7ab87c1ee4b19e58ed32c5e617a6040c7293c0f2b6ebad36bbf9bf05d1860029
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0,514,514,332,0.35408560311284043,6,d2193dd852848aa913aa9fae965419c56f6ee040465def0aacf908830e16edf3
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,1,514,514,321,0.3754863813229572,5,d5899b23c2ec2d9ad90968a5a40145c4375a9833b88b6c2d4f42d2906ada60d0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,2,514,514,330,0.357976653696498,5,b4bffd65a5c99d6ff1b596defc11c81f27bfdbc77892e031931ce4f74e3eb67c
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,3,514,514,326,0.36575875486381326,5,041756e42693587d70834827f0cafb68945947b4bc64f60405d7ddb7ef7cd491
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,4,514,514,327,0.3638132295719845,6,7ab87c1ee4b19e58ed32c5e617a6040c7293c0f2b6ebad36bbf9bf05d1860029
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0,514,514,332,0.35408560311284043,6,d2193dd852848aa913aa9fae965419c56f6ee040465def0aacf908830e16edf3
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,1,514,514,321,0.3754863813229572,5,d5899b23c2ec2d9ad90968a5a40145c4375a9833b88b6c2d4f42d2906ada60d0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,2,514,514,330,0.357976653696498,5,b4bffd65a5c99d6ff1b596defc11c81f27bfdbc77892e031931ce4f74e3eb67c
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,3,514,514,326,0.36575875486381326,5,041756e42693587d70834827f0cafb68945947b4bc64f60405d7ddb7ef7cd491
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,4,514,514,327,0.3638132295719845,6,7ab87c1ee4b19e58ed32c5e617a6040c7293c0f2b6ebad36bbf9bf05d1860029
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0,514,514,324,0.36964980544747084,5,e8ef8d2f0275da8cefd1c6b5646aaf5bd2e8d197136884633b77c6f7b0ab507a
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,1,514,514,324,0.36964980544747084,7,c8a42853890dcbb1428009e9d8d1d9a63b5d90c0d38a00b38113e0ff52b4d5b6
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,2,514,514,343,0.3326848249027238,5,bc9d1249576713fef4ff2da300c3bcc30fea6855e2749b02dfb1df8fa370eced
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,3,514,514,337,0.3443579766536965,5,77c678676f03fe55e576e9f695173c4414231aa054eff20095e310d8c5612921
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,4,514,514,331,0.3560311284046692,4,fcc7ebfba6e3765cfb7f02451b541345ec23c5cbd5866f80b6020924f1c27900
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0,514,514,324,0.36964980544747084,5,e8ef8d2f0275da8cefd1c6b5646aaf5bd2e8d197136884633b77c6f7b0ab507a
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,1,514,514,324,0.36964980544747084,7,c8a42853890dcbb1428009e9d8d1d9a63b5d90c0d38a00b38113e0ff52b4d5b6
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,2,514,514,343,0.3326848249027238,5,bc9d1249576713fef4ff2da300c3bcc30fea6855e2749b02dfb1df8fa370eced
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,3,514,514,337,0.3443579766536965,5,77c678676f03fe55e576e9f695173c4414231aa054eff20095e310d8c5612921
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,4,514,514,331,0.3560311284046692,4,fcc7ebfba6e3765cfb7f02451b541345ec23c5cbd5866f80b6020924f1c27900
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0,514,514,324,0.36964980544747084,5,e8ef8d2f0275da8cefd1c6b5646aaf5bd2e8d197136884633b77c6f7b0ab507a
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,1,514,514,324,0.36964980544747084,7,c8a42853890dcbb1428009e9d8d1d9a63b5d90c0d38a00b38113e0ff52b4d5b6
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,2,514,514,343,0.3326848249027238,5,bc9d1249576713fef4ff2da300c3bcc30fea6855e2749b02dfb1df8fa370eced
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,3,514,514,337,0.3443579766536965,5,77c678676f03fe55e576e9f695173c4414231aa054eff20095e310d8c5612921
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,4,514,514,331,0.3560311284046692,4,fcc7ebfba6e3765cfb7f02451b541345ec23c5cbd5866f80b6020924f1c27900
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0,514,514,317,0.38326848249027234,6,16d329e29ba563b63834ccdabb749978b55d0cec77d4f03d8a068293287a1449
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,1,514,514,315,0.3871595330739299,8,5083a143181aedfc99324fb5f2061d9f6fa04f5aca4e4406ca7c7e817176dd8c
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,2,514,514,326,0.36575875486381326,5,853eeb588447e9aa983baf5377678b85a8cb8306f289b2e3a77d353843214faf
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,3,514,514,331,0.3560311284046692,5,5831262787432000477c38be4e19182dfc38461464df67ddf735d43a4fde86fc
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,4,514,514,327,0.3638132295719845,6,f77a7d10e8ed81901741d0810ede9c02c128f30455d0fefb2b3b1bbaa0276a31
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0,514,514,317,0.38326848249027234,6,16d329e29ba563b63834ccdabb749978b55d0cec77d4f03d8a068293287a1449
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,1,514,514,315,0.3871595330739299,8,5083a143181aedfc99324fb5f2061d9f6fa04f5aca4e4406ca7c7e817176dd8c
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,2,514,514,326,0.36575875486381326,5,853eeb588447e9aa983baf5377678b85a8cb8306f289b2e3a77d353843214faf
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,3,514,514,331,0.3560311284046692,5,5831262787432000477c38be4e19182dfc38461464df67ddf735d43a4fde86fc
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,4,514,514,327,0.3638132295719845,6,f77a7d10e8ed81901741d0810ede9c02c128f30455d0fefb2b3b1bbaa0276a31
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0,514,514,317,0.38326848249027234,6,16d329e29ba563b63834ccdabb749978b55d0cec77d4f03d8a068293287a1449
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,1,514,514,315,0.3871595330739299,8,5083a143181aedfc99324fb5f2061d9f6fa04f5aca4e4406ca7c7e817176dd8c
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,2,514,514,326,0.36575875486381326,5,853eeb588447e9aa983baf5377678b85a8cb8306f289b2e3a77d353843214faf
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,3,514,514,331,0.3560311284046692,5,5831262787432000477c38be4e19182dfc38461464df67ddf735d43a4fde86fc
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,4,514,514,327,0.3638132295719845,6,f77a7d10e8ed81901741d0810ede9c02c128f30455d0fefb2b3b1bbaa0276a31
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0,514,514,324,0.36964980544747084,5,d5bec48cd590f5234869632c6112bcaa3886bab0cdc916b5e3e917f178d72299
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,1,514,514,320,0.377431906614786,6,6b46475f073953a0c3292177d1588bf2eecafef50820ceb76da2fa31c6c09014
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,2,514,514,329,0.3599221789883269,5,9d4c14f419c5d740a51e27e4c869ccc664a275511340ca4c0ebfc30cdd4db46d
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,3,514,514,335,0.34824902723735407,5,bd20356da0f92c90ec82ef8b83ab000cc034db9c2512abcfaa5b8efa6d7b12ba
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,4,514,514,329,0.3599221789883269,5,5bd84d5520186f96656f69e5fe572a5f82e85b6938b04ad82f710ecdbe4de10e
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0,514,514,324,0.36964980544747084,5,d5bec48cd590f5234869632c6112bcaa3886bab0cdc916b5e3e917f178d72299
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,1,514,514,320,0.377431906614786,6,6b46475f073953a0c3292177d1588bf2eecafef50820ceb76da2fa31c6c09014
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,2,514,514,329,0.3599221789883269,5,9d4c14f419c5d740a51e27e4c869ccc664a275511340ca4c0ebfc30cdd4db46d
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,3,514,514,335,0.34824902723735407,5,bd20356da0f92c90ec82ef8b83ab000cc034db9c2512abcfaa5b8efa6d7b12ba
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,4,514,514,329,0.3599221789883269,5,5bd84d5520186f96656f69e5fe572a5f82e85b6938b04ad82f710ecdbe4de10e
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0,514,514,324,0.36964980544747084,5,d5bec48cd590f5234869632c6112bcaa3886bab0cdc916b5e3e917f178d72299
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,1,514,514,320,0.377431906614786,6,6b46475f073953a0c3292177d1588bf2eecafef50820ceb76da2fa31c6c09014
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,2,514,514,329,0.3599221789883269,5,9d4c14f419c5d740a51e27e4c869ccc664a275511340ca4c0ebfc30cdd4db46d
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,3,514,514,335,0.34824902723735407,5,bd20356da0f92c90ec82ef8b83ab000cc034db9c2512abcfaa5b8efa6d7b12ba
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,4,514,514,329,0.3599221789883269,5,5bd84d5520186f96656f69e5fe572a5f82e85b6938b04ad82f710ecdbe4de10e
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0,514,514,321,0.3754863813229572,5,6ef7615fc0c44fd8fccbb738218519c9ddd1fe558ffa180aec63576f852c3433
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,1,514,514,332,0.35408560311284043,4,92fccc6e1fd8a7494c72f2110be03fe4991479ed1df8eb8448a32ab7b0796199
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,2,514,514,334,0.35019455252918286,5,49830967d769e4c05e5773da3944515a9e5c1cfabce66417c28269fc348ec243
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,3,514,514,324,0.36964980544747084,4,65918a93572aa8c6012cf4f357e201a9d8383a43f1fbce4676b6ab99c03f0de7
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,4,514,514,335,0.34824902723735407,6,8098ed33bdf061be7d22213b23241f865140f70f93ba7d82eff15be521e45c08
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0,514,514,321,0.3754863813229572,5,6ef7615fc0c44fd8fccbb738218519c9ddd1fe558ffa180aec63576f852c3433
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,1,514,514,332,0.35408560311284043,4,92fccc6e1fd8a7494c72f2110be03fe4991479ed1df8eb8448a32ab7b0796199
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,2,514,514,334,0.35019455252918286,5,49830967d769e4c05e5773da3944515a9e5c1cfabce66417c28269fc348ec243
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,3,514,514,324,0.36964980544747084,4,65918a93572aa8c6012cf4f357e201a9d8383a43f1fbce4676b6ab99c03f0de7
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,4,514,514,335,0.34824902723735407,6,8098ed33bdf061be7d22213b23241f865140f70f93ba7d82eff15be521e45c08
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0,514,514,321,0.3754863813229572,5,6ef7615fc0c44fd8fccbb738218519c9ddd1fe558ffa180aec63576f852c3433
