semantic_id,dataset,condition,split,repetition,frozen_primary_audit_seed,seed_source,embedded_artifact_audit_seed,rng_contract
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0,0,683006144,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0,0,683006144,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0,0,683006144,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0,1,2737897763,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0,1,2737897763,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0,1,2737897763,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0,2,1299007889,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0,2,1299007889,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0,2,1299007889,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0,3,463787603,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0,3,463787603,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0,3,463787603,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0,4,1865373158,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0,4,1865373158,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0,4,1865373158,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,1,0,3420555906,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,1,0,3420555906,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,1,0,3420555906,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,1,1,630552162,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,d0.5,1,1,630552162,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,d5,1,1,630552162,confirmatory_400r_matrix.seed_primary_audit_draw,,"numpy-PCG64-SeedSequence([frozen_primary_audit_seed, client_id, 0])"
