semantic_id,dataset,best_auroc,best_fpr95,H_certified,H_ecc
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,0.642202,0.905195,0,0.0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,0.685807,0.874026,0,0.0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,0.675864,0.902597,0,0.0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,0.640128,0.877922,0,0.0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,0.675967,0.883117,0,0.0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,0.693396,0.881818,1,0.03903700895926686
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,0.675008,0.884416,0,0.0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,0.673578,0.881818,0,0.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,0.6658,0.887013,0,0.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,0.630266,0.892208,0,0.0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,0.667425,0.848052,0,0.0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,0.668849,0.868831,0,0.0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,0.675605,0.851948,0,0.0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,0.656313,0.883117,0,0.0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,0.65899,0.892208,0,0.0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,0.703784,0.887013,0,0.0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,0.710805,0.866234,0,0.0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,0.71526,0.868831,0,0.0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,0.695558,0.849351,0,0.0
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,0.723144,0.845455,0,0.0
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,0.719125,0.855844,1,0.13497382023620932
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,0.667589,0.87013,0,0.0
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,0.695421,0.861039,0,0.0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,0.709005,0.862338,0,0.0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,0.682746,0.875325,0,0.0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,0.713892,0.858442,0,0.0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,0.704892,0.883117,0,0.0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,0.661788,0.868831,0,0.0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,0.689487,0.887013,0,0.0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,0.709494,0.872727,0,0.0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,0.642289,0.884416,0,0.0
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,0.704437,0.876623,0,0.0
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,0.701665,0.862338,1,0.08558611885182409
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,0.667462,0.91039,0,0.0
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,0.704489,0.853247,0,0.0
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,0.696279,0.84026,0,0.0
cifar100_proser_fedavg__split02__seed2__d0.1,cifar100,0.661842,0.890909,0,0.0
cifar100_proser_fedavg__split02__seed2__d0.5,cifar100,0.689697,0.875325,0,0.0
cifar100_proser_fedavg__split02__seed2__d5.0,cifar100,0.698766,0.885714,0,0.0
cifar100_proser_fedavg__split02__seed3__d0.1,cifar100,0.657212,0.881818,0,0.0
cifar100_proser_fedavg__split02__seed3__d0.5,cifar100,0.683801,0.866234,0,0.0
cifar100_proser_fedavg__split02__seed3__d5.0,cifar100,0.691899,0.872727,0,0.0
cifar100_proser_fedavg__split02__seed4__d0.1,cifar100,0.62276,0.901299,0,0.0
cifar100_proser_fedavg__split02__seed4__d0.5,cifar100,0.681435,0.892208,0,0.0
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,0.664731,0.9,0,0.0
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,0.67581,0.88961,0,0.0
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,0.676243,0.894805,0,0.0
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,0.680213,0.87013,0,0.0
