procedure,alpha,certified,eca
BOX1000,0.1,2,0.0032
BOX1000,0.15,46,0.0731
BOX1000,0.2,92,0.193
BOX1000,0.25,99,0.2657
BOX1000,0.3,100,0.3272
BOX2000,0.1,3,0.0047
BOX2000,0.15,46,0.0747
BOX2000,0.2,92,0.1975
BOX2000,0.25,99,0.2713
BOX2000,0.3,100,0.3329
BOX250,0.1,2,0.0031
BOX250,0.15,39,0.0586
BOX250,0.2,92,0.1787
BOX250,0.25,98,0.2494
BOX250,0.3,100,0.3134
BOX500,0.1,2,0.0031
BOX500,0.15,43,0.0666
BOX500,0.2,92,0.1868
BOX500,0.25,99,0.2586
BOX500,0.3,100,0.3203
FS_headline,0.1,8,0.0063
FS_headline,0.15,36,0.0343
FS_headline,0.2,79,0.1024
FS_headline,0.25,92,0.1623
FS_headline,0.3,100,0.219
FS_matched,0.1,4,0.0038
FS_matched,0.15,35,0.0332
FS_matched,0.2,74,0.0957
FS_matched,0.25,92,0.1575
FS_matched,0.3,100,0.2159
