sid,J,members,n_unsafe_members,fw_false_cert_H,fw_false_cert_S,sel_accLCB_fail
cifar100_proser_fedavg__split00__seed0__d0.1,5,12,6,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed0__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed0__d5.0,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d0.1,5,12,6,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d0.5,5,12,1,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed1__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed2__d0.1,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed2__d0.5,5,12,9,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed2__d5.0,5,12,7,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d0.1,5,12,9,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d0.5,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed3__d5.0,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d0.1,5,12,8,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split00__seed4__d5.0,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d0.1,5,12,5,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d0.5,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed0__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed1__d0.1,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed1__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed1__d5.0,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed2__d0.1,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed2__d0.5,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed2__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed3__d0.1,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed3__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed3__d5.0,5,12,1,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed4__d0.1,5,12,8,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed4__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split01__seed4__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed0__d0.1,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed0__d0.5,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed0__d5.0,5,12,2,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed1__d0.1,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed1__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed1__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed2__d0.1,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed2__d0.5,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed2__d5.0,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed3__d0.1,5,12,6,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed3__d0.5,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed3__d5.0,5,12,4,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed4__d0.1,5,12,3,0.0,0.0,0.0
cifar100_proser_fedavg__split02__seed4__d0.5,5,12,6,0.0,0.0,0.0
