semantic_id,arm,split_id,train_rep,traffic_draw_seed,traffic_N,c0,c1,c2,c3
officehome_convnext_frozen__split00__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_00,0,276658648,1290,190,363,362,375
officehome_convnext_frozen__split00__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_00,1,1422381255,1290,190,363,362,375
officehome_convnext_frozen__split00__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_00,2,3990118725,1290,190,363,362,375
officehome_convnext_frozen__split00__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_00,3,4200744254,1290,190,363,362,375
officehome_convnext_frozen__split00__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_00,4,1522992571,1290,190,363,362,375
officehome_convnext_frozen__split01__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_01,0,3950480956,1321,206,368,368,379
officehome_convnext_frozen__split01__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_01,1,2325822209,1321,206,368,368,379
officehome_convnext_frozen__split01__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_01,2,2416861392,1321,206,368,368,379
officehome_convnext_frozen__split01__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_01,3,2618226647,1321,206,368,368,379
officehome_convnext_frozen__split01__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_01,4,480737804,1321,206,368,368,379
officehome_convnext_frozen__split02__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_02,0,175311814,1313,199,364,373,377
officehome_convnext_frozen__split02__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_02,1,3828121827,1313,199,364,373,377
officehome_convnext_frozen__split02__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_02,2,1794841037,1313,199,364,373,377
officehome_convnext_frozen__split02__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_02,3,234110341,1313,199,364,373,377
officehome_convnext_frozen__split02__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_02,4,881314094,1313,199,364,373,377
officehome_convnext_frozen__split03__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_03,0,3327641536,1322,209,378,363,372
officehome_convnext_frozen__split03__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_03,1,1009407550,1322,209,378,363,372
officehome_convnext_frozen__split03__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_03,2,2995919535,1322,209,378,363,372
officehome_convnext_frozen__split03__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_03,3,3446411166,1322,209,378,363,372
officehome_convnext_frozen__split03__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_03,4,510873631,1322,209,378,363,372
officehome_convnext_frozen__split04__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_04,0,3569915679,1294,193,356,366,379
officehome_convnext_frozen__split04__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_04,1,2523282712,1294,193,356,366,379
officehome_convnext_frozen__split04__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_04,2,2976953820,1294,193,356,366,379
officehome_convnext_frozen__split04__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_04,3,2537448727,1294,193,356,366,379
officehome_convnext_frozen__split04__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_04,4,2526575802,1294,193,356,366,379
officehome_convnext_frozen__split05__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_05,0,2916549204,1311,204,357,372,378
officehome_convnext_frozen__split05__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_05,1,1316605237,1311,204,357,372,378
officehome_convnext_frozen__split05__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_05,2,2400189072,1311,204,357,372,378
officehome_convnext_frozen__split05__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_05,3,2504036614,1311,204,357,372,378
officehome_convnext_frozen__split05__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_05,4,3602376801,1311,204,357,372,378
officehome_convnext_frozen__split06__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_06,0,1511471841,1319,196,382,370,371
officehome_convnext_frozen__split06__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_06,1,2092200731,1319,196,382,370,371
officehome_convnext_frozen__split06__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_06,2,1433259313,1319,196,382,370,371
officehome_convnext_frozen__split06__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_06,3,3676860733,1319,196,382,370,371
officehome_convnext_frozen__split06__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_06,4,1472065119,1319,196,382,370,371
officehome_convnext_frozen__split07__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_07,0,3708752774,1315,208,370,363,374
officehome_convnext_frozen__split07__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_07,1,623505008,1315,208,370,363,374
officehome_convnext_frozen__split07__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_07,2,3725431066,1315,208,370,363,374
officehome_convnext_frozen__split07__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_07,3,2556988479,1315,208,370,363,374
officehome_convnext_frozen__split07__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_07,4,4062391116,1315,208,370,363,374
officehome_convnext_frozen__split08__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_08,0,3625516806,1312,195,354,376,387
officehome_convnext_frozen__split08__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_08,1,1314423090,1312,195,354,376,387
officehome_convnext_frozen__split08__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_08,2,1707537034,1312,195,354,376,387
officehome_convnext_frozen__split08__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_08,3,1439318127,1312,195,354,376,387
officehome_convnext_frozen__split08__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_08,4,3263165577,1312,195,354,376,387
officehome_convnext_frozen__split09__seed0,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_09,0,2659275203,1309,198,372,365,374
officehome_convnext_frozen__split09__seed1,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_09,1,2584187467,1309,198,372,365,374
officehome_convnext_frozen__split09__seed2,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_09,2,3972714949,1309,198,372,365,374
officehome_convnext_frozen__split09__seed3,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_09,3,620389523,1309,198,372,365,374
officehome_convnext_frozen__split09__seed4,convnext_tiny_frozen_linear,officehome_c400r_balanced_split_09,4,1934620803,1309,198,372,365,374
officehome_convnext_full__split00__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_00,0,1222334543,1290,190,363,362,375
officehome_convnext_full__split00__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_00,1,2192868084,1290,190,363,362,375
officehome_convnext_full__split00__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_00,2,1730609569,1290,190,363,362,375
officehome_convnext_full__split00__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_00,3,2222894917,1290,190,363,362,375
officehome_convnext_full__split00__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_00,4,2707175753,1290,190,363,362,375
officehome_convnext_full__split01__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_01,0,3185139933,1321,206,368,368,379
officehome_convnext_full__split01__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_01,1,807495157,1321,206,368,368,379
officehome_convnext_full__split01__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_01,2,681659085,1321,206,368,368,379
officehome_convnext_full__split01__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_01,3,3753019323,1321,206,368,368,379
officehome_convnext_full__split01__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_01,4,3944697689,1321,206,368,368,379
officehome_convnext_full__split02__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_02,0,1803370153,1313,199,364,373,377
officehome_convnext_full__split02__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_02,1,514454119,1313,199,364,373,377
officehome_convnext_full__split02__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_02,2,3841417350,1313,199,364,373,377
officehome_convnext_full__split02__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_02,3,3884681847,1313,199,364,373,377
officehome_convnext_full__split02__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_02,4,79092061,1313,199,364,373,377
officehome_convnext_full__split03__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_03,0,129816896,1322,209,378,363,372
officehome_convnext_full__split03__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_03,1,2996677132,1322,209,378,363,372
officehome_convnext_full__split03__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_03,2,173936549,1322,209,378,363,372
officehome_convnext_full__split03__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_03,3,2469959846,1322,209,378,363,372
officehome_convnext_full__split03__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_03,4,79469707,1322,209,378,363,372
officehome_convnext_full__split04__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_04,0,4011253461,1294,193,356,366,379
officehome_convnext_full__split04__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_04,1,224375103,1294,193,356,366,379
officehome_convnext_full__split04__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_04,2,3374085147,1294,193,356,366,379
officehome_convnext_full__split04__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_04,3,4056613304,1294,193,356,366,379
officehome_convnext_full__split04__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_04,4,4173294259,1294,193,356,366,379
officehome_convnext_full__split05__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_05,0,3766119585,1311,204,357,372,378
officehome_convnext_full__split05__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_05,1,2496967120,1311,204,357,372,378
officehome_convnext_full__split05__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_05,2,774223188,1311,204,357,372,378
officehome_convnext_full__split05__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_05,3,2776234150,1311,204,357,372,378
officehome_convnext_full__split05__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_05,4,1442583982,1311,204,357,372,378
officehome_convnext_full__split06__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_06,0,41297512,1319,196,382,370,371
officehome_convnext_full__split06__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_06,1,2729717250,1319,196,382,370,371
officehome_convnext_full__split06__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_06,2,1515368349,1319,196,382,370,371
officehome_convnext_full__split06__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_06,3,1893283958,1319,196,382,370,371
officehome_convnext_full__split06__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_06,4,3028996046,1319,196,382,370,371
officehome_convnext_full__split07__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_07,0,3420776121,1315,208,370,363,374
officehome_convnext_full__split07__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_07,1,3041290877,1315,208,370,363,374
officehome_convnext_full__split07__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_07,2,3004668168,1315,208,370,363,374
officehome_convnext_full__split07__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_07,3,1371143726,1315,208,370,363,374
officehome_convnext_full__split07__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_07,4,1563421457,1315,208,370,363,374
officehome_convnext_full__split08__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_08,0,1648289375,1312,195,354,376,387
officehome_convnext_full__split08__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_08,1,90477388,1312,195,354,376,387
officehome_convnext_full__split08__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_08,2,3315614793,1312,195,354,376,387
officehome_convnext_full__split08__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_08,3,4093758606,1312,195,354,376,387
officehome_convnext_full__split08__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_08,4,3965988194,1312,195,354,376,387
officehome_convnext_full__split09__seed0,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_09,0,4115096400,1309,198,372,365,374
officehome_convnext_full__split09__seed1,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_09,1,2980084014,1309,198,372,365,374
officehome_convnext_full__split09__seed2,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_09,2,888828628,1309,198,372,365,374
officehome_convnext_full__split09__seed3,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_09,3,3850008591,1309,198,372,365,374
officehome_convnext_full__split09__seed4,convnext_tiny_full_fedavg,officehome_c400r_balanced_split_09,4,1629122097,1309,198,372,365,374
