sid,rejectall,validity,target
cifar100_proser_fedavg__split00__seed0__d0.1,0,1.0,0.23232323232323232
cifar100_proser_fedavg__split00__seed0__d0.5,0,0.999,0.20945945945945946
cifar100_proser_fedavg__split00__seed0__d5.0,0,1.0,0.19875776397515527
cifar100_proser_fedavg__split00__seed1__d0.1,0,1.0,0.1702127659574468
cifar100_proser_fedavg__split00__seed1__d0.5,0,1.0,0.2013888888888889
cifar100_proser_fedavg__split00__seed1__d5.0,0,0.999,0.22875816993464052
cifar100_proser_fedavg__split00__seed2__d0.1,0,1.0,0.20388349514563106
cifar100_proser_fedavg__split00__seed2__d0.5,0,0.997,0.2765957446808511
cifar100_proser_fedavg__split00__seed2__d5.0,0,0.981,0.28289473684210525
cifar100_proser_fedavg__split00__seed3__d0.1,0,1.0,0.23809523809523808
cifar100_proser_fedavg__split00__seed3__d0.5,0,0.991,0.281437125748503
cifar100_proser_fedavg__split00__seed3__d5.0,0,0.996,0.29381443298969073
cifar100_proser_fedavg__split00__seed4__d0.1,0,1.0,0.25
cifar100_proser_fedavg__split00__seed4__d0.5,0,0.997,0.2765957446808511
cifar100_proser_fedavg__split00__seed4__d5.0,0,1.0,0.23703703703703705
cifar100_proser_fedavg__split01__seed0__d0.1,0,0.999,0.25225225225225223
cifar100_proser_fedavg__split01__seed0__d0.5,0,0.999,0.24358974358974358
cifar100_proser_fedavg__split01__seed0__d5.0,0,1.0,0.23157894736842105
cifar100_proser_fedavg__split01__seed1__d0.1,0,1.0,0.20192307692307693
cifar100_proser_fedavg__split01__seed1__d0.5,0,1.0,0.21176470588235294
cifar100_proser_fedavg__split01__seed1__d5.0,0,1.0,0.2085889570552147
cifar100_proser_fedavg__split01__seed2__d0.1,0,1.0,0.21649484536082475
cifar100_proser_fedavg__split01__seed2__d0.5,0,1.0,0.26785714285714285
cifar100_proser_fedavg__split01__seed2__d5.0,0,1.0,0.2345679012345679
cifar100_proser_fedavg__split01__seed3__d0.1,0,1.0,0.22549019607843138
cifar100_proser_fedavg__split01__seed3__d0.5,0,0.998,0.22784810126582278
cifar100_proser_fedavg__split01__seed3__d5.0,0,1.0,0.17543859649122806
cifar100_proser_fedavg__split01__seed4__d0.1,0,1.0,0.25
cifar100_proser_fedavg__split01__seed4__d0.5,0,1.0,0.23214285714285715
cifar100_proser_fedavg__split01__seed4__d5.0,0,0.999,0.22994652406417113
cifar100_proser_fedavg__split02__seed0__d0.1,0,1.0,0.21875
cifar100_proser_fedavg__split02__seed0__d0.5,0,1.0,0.20512820512820512
cifar100_proser_fedavg__split02__seed0__d5.0,0,1.0,0.2463768115942029
cifar100_proser_fedavg__split02__seed1__d0.1,0,0.999,0.22522522522522523
cifar100_proser_fedavg__split02__seed1__d0.5,0,1.0,0.23529411764705882
cifar100_proser_fedavg__split02__seed1__d5.0,0,1.0,0.225130890052356
cifar100_proser_fedavg__split02__seed2__d0.1,0,0.998,0.273972602739726
cifar100_proser_fedavg__split02__seed2__d0.5,0,0.997,0.2346368715083799
cifar100_proser_fedavg__split02__seed2__d5.0,0,0.997,0.24468085106382978
cifar100_proser_fedavg__split02__seed3__d0.1,0,1.0,0.26618705035971224
cifar100_proser_fedavg__split02__seed3__d0.5,0,1.0,0.22023809523809523
cifar100_proser_fedavg__split02__seed3__d5.0,0,1.0,0.22872340425531915
cifar100_proser_fedavg__split02__seed4__d0.1,0,1.0,0.225
cifar100_proser_fedavg__split02__seed4__d0.5,0,0.972,0.32298136645962733
cifar100_proser_fedavg__split02__seed4__d5.0,0,1.0,0.25654450261780104
cifar100_proser_fedavg__split03__seed0__d0.1,0,1.0,0.24489795918367346
cifar100_proser_fedavg__split03__seed0__d0.5,0,0.999,0.25316455696202533
cifar100_proser_fedavg__split03__seed0__d5.0,0,1.0,0.22839506172839505
cifar100_proser_fedavg__split03__seed1__d0.1,0,1.0,0.25333333333333335
cifar100_proser_fedavg__split03__seed1__d0.5,0,0.999,0.24166666666666667
cifar100_proser_fedavg__split03__seed1__d5.0,0,0.999,0.22727272727272727
cifar100_proser_fedavg__split03__seed2__d0.1,0,0.999,0.2676056338028169
cifar100_proser_fedavg__split03__seed2__d0.5,0,1.0,0.26153846153846155
cifar100_proser_fedavg__split03__seed2__d5.0,0,0.982,0.2645161290322581
cifar100_proser_fedavg__split03__seed3__d0.1,0,1.0,0.21495327102803738
cifar100_proser_fedavg__split03__seed3__d0.5,0,0.999,0.22058823529411764
cifar100_proser_fedavg__split03__seed3__d5.0,0,1.0,0.21965317919075145
cifar100_proser_fedavg__split03__seed4__d0.1,0,1.0,0.28846153846153844
cifar100_proser_fedavg__split03__seed4__d0.5,0,1.0,0.22580645161290322
cifar100_proser_fedavg__split03__seed4__d5.0,0,1.0,0.24043715846994534
cifar100_proser_fedavg__split04__seed0__d0.1,0,1.0,0.2564102564102564
cifar100_proser_fedavg__split04__seed0__d0.5,0,1.0,0.2012987012987013
cifar100_proser_fedavg__split04__seed0__d5.0,0,0.997,0.22857142857142856
cifar100_proser_fedavg__split04__seed1__d0.1,0,1.0,0.26
cifar100_proser_fedavg__split04__seed1__d0.5,0,1.0,0.20833333333333334
cifar100_proser_fedavg__split04__seed1__d5.0,0,1.0,0.2192513368983957
cifar100_proser_fedavg__split04__seed2__d0.1,0,0.999,0.27586206896551724
cifar100_proser_fedavg__split04__seed2__d0.5,0,1.0,0.23214285714285715
cifar100_proser_fedavg__split04__seed2__d5.0,0,1.0,0.21333333333333335
cifar100_proser_fedavg__split04__seed3__d0.1,0,0.998,0.25925925925925924
cifar100_proser_fedavg__split04__seed3__d0.5,0,0.997,0.25874125874125875
cifar100_proser_fedavg__split04__seed3__d5.0,0,1.0,0.23404255319148937
cifar100_proser_fedavg__split04__seed4__d0.1,0,1.0,0.23076923076923078
cifar100_proser_fedavg__split04__seed4__d0.5,0,1.0,0.22972972972972974
cifar100_proser_fedavg__split04__seed4__d5.0,0,1.0,0.26666666666666666
cifar100_proser_fedavg__split05__seed0__d0.1,0,0.996,0.27906976744186046
cifar100_proser_fedavg__split05__seed0__d0.5,0,1.0,0.2108843537414966
cifar100_proser_fedavg__split05__seed0__d5.0,0,1.0,0.2631578947368421
cifar100_proser_fedavg__split05__seed1__d0.1,0,1.0,0.24489795918367346
cifar100_proser_fedavg__split05__seed1__d0.5,0,1.0,0.2052980132450331
cifar100_proser_fedavg__split05__seed1__d5.0,0,1.0,0.23270440251572327
cifar100_proser_fedavg__split05__seed2__d0.1,0,0.999,0.2391304347826087
cifar100_proser_fedavg__split05__seed2__d0.5,0,0.998,0.2517482517482518
cifar100_proser_fedavg__split05__seed2__d5.0,0,0.997,0.23972602739726026
cifar100_proser_fedavg__split05__seed3__d0.1,0,1.0,0.21100917431192662
cifar100_proser_fedavg__split05__seed3__d0.5,0,1.0,0.24358974358974358
cifar100_proser_fedavg__split05__seed3__d5.0,0,1.0,0.2598870056497175
cifar100_proser_fedavg__split05__seed4__d0.1,0,0.992,0.29577464788732394
cifar100_proser_fedavg__split05__seed4__d0.5,0,1.0,0.23076923076923078
cifar100_proser_fedavg__split05__seed4__d5.0,0,1.0,0.2582781456953642
cifar100_proser_fedavg__split06__seed0__d0.1,0,0.999,0.21518987341772153
cifar100_proser_fedavg__split06__seed0__d0.5,0,1.0,0.2248062015503876
cifar100_proser_fedavg__split06__seed0__d5.0,0,1.0,0.2
cifar100_proser_fedavg__split06__seed1__d0.1,0,0.998,0.273972602739726
cifar100_proser_fedavg__split06__seed1__d0.5,0,0.998,0.22727272727272727
cifar100_proser_fedavg__split06__seed1__d5.0,0,0.999,0.2185430463576159
cifar100_proser_fedavg__split06__seed2__d0.1,0,0.999,0.23943661971830985
cifar100_proser_fedavg__split06__seed2__d0.5,0,1.0,0.24113475177304963
cifar100_proser_fedavg__split06__seed2__d5.0,0,1.0,0.25
cifar100_proser_fedavg__split06__seed3__d0.1,0,0.999,0.22826086956521738
cifar100_proser_fedavg__split06__seed3__d0.5,0,0.999,0.232
cifar100_proser_fedavg__split06__seed3__d5.0,0,1.0,0.21142857142857144
cifar100_proser_fedavg__split06__seed4__d0.1,0,1.0,0.23404255319148937
cifar100_proser_fedavg__split06__seed4__d0.5,0,1.0,0.27906976744186046
cifar100_proser_fedavg__split06__seed4__d5.0,0,1.0,0.2658959537572254
cifar100_proser_fedavg__split07__seed0__d0.1,0,0.999,0.2857142857142857
cifar100_proser_fedavg__split07__seed0__d0.5,0,1.0,0.21138211382113822
cifar100_proser_fedavg__split07__seed0__d5.0,0,0.996,0.20382165605095542
cifar100_proser_fedavg__split07__seed1__d0.1,0,1.0,0.21978021978021978
cifar100_proser_fedavg__split07__seed1__d0.5,0,1.0,0.22448979591836735
cifar100_proser_fedavg__split07__seed1__d5.0,0,1.0,0.19553072625698323
cifar100_proser_fedavg__split07__seed2__d0.1,0,1.0,0.2127659574468085
cifar100_proser_fedavg__split07__seed2__d0.5,0,0.984,0.30120481927710846
cifar100_proser_fedavg__split07__seed2__d5.0,0,1.0,0.19642857142857142
cifar100_proser_fedavg__split07__seed3__d0.1,0,0.998,0.272
cifar100_proser_fedavg__split07__seed3__d0.5,0,1.0,0.19886363636363635
cifar100_proser_fedavg__split07__seed3__d5.0,0,0.994,0.27631578947368424
cifar100_proser_fedavg__split07__seed4__d0.1,0,1.0,0.24285714285714285
cifar100_proser_fedavg__split07__seed4__d0.5,0,1.0,0.22695035460992907
cifar100_proser_fedavg__split07__seed4__d5.0,0,1.0,0.21333333333333335
cifar100_proser_fedavg__split08__seed0__d0.1,0,1.0,0.24358974358974358
cifar100_proser_fedavg__split08__seed0__d0.5,0,1.0,0.21379310344827587
cifar100_proser_fedavg__split08__seed0__d5.0,0,1.0,0.19863013698630136
cifar100_proser_fedavg__split08__seed1__d0.1,0,1.0,0.2235294117647059
cifar100_proser_fedavg__split08__seed1__d0.5,0,1.0,0.2426470588235294
cifar100_proser_fedavg__split08__seed1__d5.0,0,1.0,0.2222222222222222
cifar100_proser_fedavg__split08__seed2__d0.1,0,1.0,0.24675324675324675
cifar100_proser_fedavg__split08__seed2__d0.5,0,1.0,0.22429906542056074
cifar100_proser_fedavg__split08__seed2__d5.0,0,0.99,0.27741935483870966
cifar100_proser_fedavg__split08__seed3__d0.1,0,1.0,0.22340425531914893
cifar100_proser_fedavg__split08__seed3__d0.5,0,0.999,0.23741007194244604
cifar100_proser_fedavg__split08__seed3__d5.0,0,1.0,0.23699421965317918
cifar100_proser_fedavg__split08__seed4__d0.1,0,1.0,0.21052631578947367
cifar100_proser_fedavg__split08__seed4__d0.5,0,0.998,0.24060150375939848
cifar100_proser_fedavg__split08__seed4__d5.0,0,1.0,0.25477707006369427
cifar100_proser_fedavg__split09__seed0__d0.1,0,1.0,0.19
cifar100_proser_fedavg__split09__seed0__d0.5,0,1.0,0.20833333333333334
cifar100_proser_fedavg__split09__seed0__d5.0,0,1.0,0.21022727272727273
cifar100_proser_fedavg__split09__seed1__d0.1,0,1.0,0.23863636363636365
cifar100_proser_fedavg__split09__seed1__d0.5,0,1.0,0.2422360248447205
cifar100_proser_fedavg__split09__seed1__d5.0,0,1.0,0.26424870466321243
cifar100_proser_fedavg__split09__seed2__d0.1,0,1.0,0.2807017543859649
cifar100_proser_fedavg__split09__seed2__d0.5,0,1.0,0.2191780821917808
cifar100_proser_fedavg__split09__seed2__d5.0,0,1.0,0.18674698795180722
cifar100_proser_fedavg__split09__seed3__d0.1,0,0.996,0.2713178294573643
cifar100_proser_fedavg__split09__seed3__d0.5,0,0.999,0.2413793103448276
cifar100_proser_fedavg__split09__seed3__d5.0,0,1.0,0.21764705882352942
cifar100_proser_fedavg__split09__seed4__d0.1,0,1.0,0.21904761904761905
cifar100_proser_fedavg__split09__seed4__d0.5,0,0.999,0.24390243902439024
cifar100_proser_fedavg__split09__seed4__d5.0,0,1.0,0.21311475409836064
cifar10_proser_fedavg__split00__seed0__d0.1,0,1.0,0.19047619047619047
cifar10_proser_fedavg__split00__seed0__d0.5,0,1.0,0.2517482517482518
cifar10_proser_fedavg__split00__seed0__d5.0,0,1.0,0.23076923076923078
cifar10_proser_fedavg__split00__seed1__d0.1,0,1.0,0.18902439024390244
cifar10_proser_fedavg__split00__seed1__d0.5,0,1.0,0.18902439024390244
cifar10_proser_fedavg__split00__seed1__d5.0,0,0.999,0.21005917159763313
cifar10_proser_fedavg__split00__seed2__d0.1,0,0.998,0.20261437908496732
cifar10_proser_fedavg__split00__seed2__d0.5,0,1.0,0.21100917431192662
cifar10_proser_fedavg__split00__seed2__d5.0,0,1.0,0.20679012345679013
cifar10_proser_fedavg__split00__seed3__d0.1,0,0.999,0.2236024844720497
cifar10_proser_fedavg__split00__seed3__d0.5,0,1.0,0.23880597014925373
cifar10_proser_fedavg__split00__seed3__d5.0,0,1.0,0.2558922558922559
cifar10_proser_fedavg__split00__seed4__d0.1,0,0.994,0.26285714285714284
cifar10_proser_fedavg__split00__seed4__d0.5,0,0.984,0.26666666666666666
cifar10_proser_fedavg__split00__seed4__d5.0,0,0.999,0.25
cifar10_proser_fedavg__split01__seed0__d0.1,1,1.0,0.0
cifar10_proser_fedavg__split01__seed0__d0.5,0,1.0,0.22123893805309736
cifar10_proser_fedavg__split01__seed0__d5.0,0,1.0,0.21212121212121213
cifar10_proser_fedavg__split01__seed1__d0.1,0,0.997,0.25
cifar10_proser_fedavg__split01__seed1__d0.5,0,0.999,0.228125
cifar10_proser_fedavg__split01__seed1__d5.0,0,1.0,0.23369565217391305
cifar10_proser_fedavg__split01__seed2__d0.1,0,1.0,0.25806451612903225
cifar10_proser_fedavg__split01__seed2__d0.5,0,0.999,0.2413793103448276
cifar10_proser_fedavg__split01__seed2__d5.0,0,1.0,0.2215909090909091
cifar10_proser_fedavg__split01__seed3__d0.1,0,1.0,0.34782608695652173
cifar10_proser_fedavg__split01__seed3__d0.5,0,1.0,0.20521172638436483
cifar10_proser_fedavg__split01__seed3__d5.0,0,1.0,0.20249221183800623
cifar10_proser_fedavg__split01__seed4__d0.1,0,1.0,0.20967741935483872
cifar10_proser_fedavg__split01__seed4__d0.5,0,1.0,0.2222222222222222
cifar10_proser_fedavg__split01__seed4__d5.0,0,1.0,0.21580547112462006
cifar10_proser_fedavg__split02__seed0__d0.1,1,1.0,0.0
cifar10_proser_fedavg__split02__seed0__d0.5,0,1.0,0.25
cifar10_proser_fedavg__split02__seed0__d5.0,0,1.0,0.2375366568914956
cifar10_proser_fedavg__split02__seed1__d0.1,0,1.0,0.2260536398467433
cifar10_proser_fedavg__split02__seed1__d0.5,0,1.0,0.2077922077922078
cifar10_proser_fedavg__split02__seed1__d5.0,0,1.0,0.22058823529411764
cifar10_proser_fedavg__split02__seed2__d0.1,0,1.0,0.25757575757575757
cifar10_proser_fedavg__split02__seed2__d0.5,0,1.0,0.19877675840978593
cifar10_proser_fedavg__split02__seed2__d5.0,0,1.0,0.21428571428571427
cifar10_proser_fedavg__split02__seed3__d0.1,0,1.0,0.19718309859154928
cifar10_proser_fedavg__split02__seed3__d0.5,0,1.0,0.20577617328519857
cifar10_proser_fedavg__split02__seed3__d5.0,0,0.999,0.20359281437125748
cifar10_proser_fedavg__split02__seed4__d0.1,0,0.999,0.22
cifar10_proser_fedavg__split02__seed4__d0.5,0,1.0,0.22043010752688172
cifar10_proser_fedavg__split02__seed4__d5.0,0,0.998,0.228486646884273
cifar10_proser_fedavg__split03__seed0__d0.1,0,0.999,0.25757575757575757
cifar10_proser_fedavg__split03__seed0__d0.5,0,1.0,0.21052631578947367
cifar10_proser_fedavg__split03__seed0__d5.0,0,0.999,0.23626373626373626
cifar10_proser_fedavg__split03__seed1__d0.1,0,1.0,0.1968503937007874
cifar10_proser_fedavg__split03__seed1__d0.5,0,1.0,0.20869565217391303
cifar10_proser_fedavg__split03__seed1__d5.0,0,1.0,0.21511627906976744
cifar10_proser_fedavg__split03__seed2__d0.1,0,0.998,0.25688073394495414
cifar10_proser_fedavg__split03__seed2__d0.5,0,1.0,0.19941348973607037
cifar10_proser_fedavg__split03__seed2__d5.0,0,1.0,0.20738636363636365
cifar10_proser_fedavg__split03__seed3__d0.1,0,0.998,0.26865671641791045
cifar10_proser_fedavg__split03__seed3__d0.5,0,1.0,0.20666666666666667
cifar10_proser_fedavg__split03__seed3__d5.0,0,1.0,0.2225705329153605
cifar10_proser_fedavg__split03__seed4__d0.1,0,1.0,0.21052631578947367
cifar10_proser_fedavg__split03__seed4__d0.5,0,1.0,0.2084942084942085
cifar10_proser_fedavg__split03__seed4__d5.0,0,1.0,0.20059880239520958
cifar10_proser_fedavg__split04__seed0__d0.1,0,1.0,0.2631578947368421
cifar10_proser_fedavg__split04__seed0__d0.5,0,1.0,0.2490842490842491
cifar10_proser_fedavg__split04__seed0__d5.0,0,0.98,0.2537313432835821
cifar10_proser_fedavg__split04__seed1__d0.1,0,1.0,0.25153374233128833
cifar10_proser_fedavg__split04__seed1__d0.5,0,1.0,0.23588039867109634
cifar10_proser_fedavg__split04__seed1__d5.0,0,1.0,0.20376175548589343
cifar10_proser_fedavg__split04__seed2__d0.1,0,0.996,0.24390243902439024
cifar10_proser_fedavg__split04__seed2__d0.5,0,0.999,0.24509803921568626
cifar10_proser_fedavg__split04__seed2__d5.0,0,1.0,0.22988505747126436
cifar10_proser_fedavg__split04__seed3__d0.1,0,1.0,0.24050632911392406
cifar10_proser_fedavg__split04__seed3__d0.5,0,1.0,0.20477815699658702
cifar10_proser_fedavg__split04__seed3__d5.0,0,0.999,0.23493975903614459
cifar10_proser_fedavg__split04__seed4__d0.1,0,0.994,0.3142857142857143
cifar10_proser_fedavg__split04__seed4__d0.5,0,0.999,0.2328042328042328
cifar10_proser_fedavg__split04__seed4__d5.0,0,1.0,0.20846905537459284
cifar10_proser_fedavg__split05__seed0__d0.1,0,1.0,0.40625
cifar10_proser_fedavg__split05__seed0__d0.5,0,1.0,0.2037037037037037
cifar10_proser_fedavg__split05__seed0__d5.0,0,1.0,0.2222222222222222
cifar10_proser_fedavg__split05__seed1__d0.1,0,1.0,0.2127659574468085
cifar10_proser_fedavg__split05__seed1__d0.5,0,1.0,0.23323615160349853
cifar10_proser_fedavg__split05__seed1__d5.0,0,1.0,0.22508038585209003
cifar10_proser_fedavg__split05__seed2__d0.1,0,0.996,0.24193548387096775
cifar10_proser_fedavg__split05__seed2__d0.5,0,1.0,0.21543408360128619
cifar10_proser_fedavg__split05__seed2__d5.0,0,1.0,0.20903954802259886
cifar10_proser_fedavg__split05__seed3__d0.1,0,0.999,0.24064171122994651
cifar10_proser_fedavg__split05__seed3__d0.5,0,1.0,0.20972644376899696
cifar10_proser_fedavg__split05__seed3__d5.0,0,1.0,0.18885448916408668
cifar10_proser_fedavg__split05__seed4__d0.1,0,0.999,0.28846153846153844
cifar10_proser_fedavg__split05__seed4__d0.5,0,0.99,0.2597864768683274
cifar10_proser_fedavg__split05__seed4__d5.0,0,0.991,0.2422360248447205
cifar10_proser_fedavg__split06__seed0__d0.1,1,1.0,0.0
cifar10_proser_fedavg__split06__seed0__d0.5,0,1.0,0.2229299363057325
cifar10_proser_fedavg__split06__seed0__d5.0,0,1.0,0.21066666666666667
cifar10_proser_fedavg__split06__seed1__d0.1,0,1.0,0.2260536398467433
cifar10_proser_fedavg__split06__seed1__d0.5,0,1.0,0.21629213483146068
cifar10_proser_fedavg__split06__seed1__d5.0,0,1.0,0.21944444444444444
cifar10_proser_fedavg__split06__seed2__d0.1,0,1.0,0.23404255319148937
cifar10_proser_fedavg__split06__seed2__d0.5,0,1.0,0.2132132132132132
cifar10_proser_fedavg__split06__seed2__d5.0,0,1.0,0.208
cifar10_proser_fedavg__split06__seed3__d0.1,0,1.0,0.18433179723502305
cifar10_proser_fedavg__split06__seed3__d0.5,0,1.0,0.19653179190751446
cifar10_proser_fedavg__split06__seed3__d5.0,0,1.0,0.20353982300884957
cifar10_proser_fedavg__split06__seed4__d0.1,0,0.999,0.25862068965517243
cifar10_proser_fedavg__split06__seed4__d0.5,0,0.992,0.25980392156862747
cifar10_proser_fedavg__split06__seed4__d5.0,0,0.999,0.22922636103151864
cifar10_proser_fedavg__split07__seed0__d0.1,0,1.0,0.3333333333333333
cifar10_proser_fedavg__split07__seed0__d0.5,0,0.998,0.23430962343096234
cifar10_proser_fedavg__split07__seed0__d5.0,0,1.0,0.2463768115942029
cifar10_proser_fedavg__split07__seed1__d0.1,0,1.0,0.22
cifar10_proser_fedavg__split07__seed1__d0.5,0,1.0,0.21532846715328466
cifar10_proser_fedavg__split07__seed1__d5.0,0,1.0,0.2177121771217712
cifar10_proser_fedavg__split07__seed2__d0.1,0,1.0,0.4
cifar10_proser_fedavg__split07__seed2__d0.5,0,0.999,0.23728813559322035
cifar10_proser_fedavg__split07__seed2__d5.0,0,1.0,0.204
cifar10_proser_fedavg__split07__seed3__d0.1,0,1.0,0.2
cifar10_proser_fedavg__split07__seed3__d0.5,0,1.0,0.2454212454212454
cifar10_proser_fedavg__split07__seed3__d5.0,0,1.0,0.2388663967611336
cifar10_proser_fedavg__split07__seed4__d0.1,0,1.0,0.2702702702702703
cifar10_proser_fedavg__split07__seed4__d0.5,0,1.0,0.2066115702479339
cifar10_proser_fedavg__split07__seed4__d5.0,0,1.0,0.2131782945736434
cifar10_proser_fedavg__split08__seed0__d0.1,0,1.0,0.26666666666666666
cifar10_proser_fedavg__split08__seed0__d0.5,0,1.0,0.20689655172413793
cifar10_proser_fedavg__split08__seed0__d5.0,0,1.0,0.24120603015075376
cifar10_proser_fedavg__split08__seed1__d0.1,0,1.0,0.23622047244094488
cifar10_proser_fedavg__split08__seed1__d0.5,0,1.0,0.23039215686274508
cifar10_proser_fedavg__split08__seed1__d5.0,0,1.0,0.21674876847290642
cifar10_proser_fedavg__split08__seed2__d0.1,0,0.999,0.25217391304347825
cifar10_proser_fedavg__split08__seed2__d0.5,0,1.0,0.20512820512820512
cifar10_proser_fedavg__split08__seed2__d5.0,0,0.999,0.23015873015873015
cifar10_proser_fedavg__split08__seed3__d0.1,0,0.998,0.2647058823529412
cifar10_proser_fedavg__split08__seed3__d0.5,0,0.997,0.24782608695652175
cifar10_proser_fedavg__split08__seed3__d5.0,0,0.999,0.23717948717948717
cifar10_proser_fedavg__split08__seed4__d0.1,0,1.0,0.2727272727272727
cifar10_proser_fedavg__split08__seed4__d0.5,0,1.0,0.22413793103448276
cifar10_proser_fedavg__split08__seed4__d5.0,0,1.0,0.23557692307692307
cifar10_proser_fedavg__split09__seed0__d0.1,0,1.0,0.2463768115942029
cifar10_proser_fedavg__split09__seed0__d0.5,0,1.0,0.22685185185185186
cifar10_proser_fedavg__split09__seed0__d5.0,0,1.0,0.21082621082621084
