result_key,stem,split_id,train_seed,alpha,group_name,group_index,accepted_count_Ag,accepted_error_count_Kg,reservoir_n_g_drawn,empirical_accepted_risk,cp_risk_ucb,cp_width,accept_rate_lcb,supports,is_binding_group,group_failure_reason
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.05|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.05,HAM_derived,0,0,0,98,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.05|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.05,other,1,3,2,76,0.6666666666666666,0.9972144702507099,0.33054780358404323,0.005418655504559311,True,True,empirical_risk_>=_alpha (point estimate already over target)
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.1|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.1,HAM_derived,0,0,0,98,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.1|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.1,other,1,3,2,76,0.6666666666666666,0.9972144702507099,0.33054780358404323,0.005418655504559311,True,True,empirical_risk_>=_alpha (point estimate already over target)
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.15|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.15,HAM_derived,0,0,0,98,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.15|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.15,other,1,3,2,76,0.6666666666666666,0.9972144702507099,0.33054780358404323,0.005418655504559311,True,True,empirical_risk_>=_alpha (point estimate already over target)
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.2,HAM_derived,0,0,0,98,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.2|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.2,other,1,3,2,76,0.6666666666666666,0.9972144702507099,0.33054780358404323,0.005418655504559311,True,True,empirical_risk_>=_alpha (point estimate already over target)
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.25|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.25,HAM_derived,0,0,0,98,,1.0,,0.0,False,False,no_accepted_units_A_g=0
fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY|alpha0.25|grouped,fed_isic2019__fed-isic__split00__seed0__dna__alphaANY__variantANY,split00,0,0.25,other,1,3,2,76,0.6666666666666666,0.9972144702507099,0.33054780358404323,0.005418655504559311,True,True,empirical_risk_>=_alpha (point estimate already over target)
