cell,experiment_id,training_status,in_run_cert_status,manuscript_cert_status,proposal_support_valid,certification_a3_valid,evaluation_unknown_metrics_defined,certification_a3_reason,is_recovery,logit_sha256
split00__seed0,fed-isic-BCC-MEL-model0__893b04225fe7dc47,completed,failed_permission,pending_posthoc,True,True,True,,False,fbabc59ea19766b5630f150d52f53baeb1b488c0b5326b3104ff69b9e3e65598
split00__seed1,fed-isic-BCC-MEL-model1__96eff971fdf7d7a4,completed,failed_permission,pending_posthoc,True,True,True,,False,a1fd739097ed5150a7486acf2e2d914ec1546e116d17e8a6f4221cfae8a6a33a
split00__seed2,fed-isic-BCC-MEL-model2__ac5e93924a199b69,completed,failed_permission,pending_posthoc,True,True,True,,False,31fa20a66bbcd5c10d6c3058c8bb96ce5097dcf29ef9039c907e65663e32392f
split00__seed3,fed-isic-BCC-MEL-model3__745dca806d5ddf0c,completed,failed_permission,pending_posthoc,True,True,True,,False,ba4c4a8f48589ad6e1bfd894ad846b095eea0643741ccd6b91eed828d5e7d792
split00__seed4,fed-isic-BCC-MEL-model4__08e479992f066cbf,completed,failed_permission,pending_posthoc,True,True,True,,False,7f8a4dbf5cf45cacc241748f94156338448368281578f4fba277b2961772e803
split01__seed0,fed-isic-BKL-MEL-model0__3e77493adefe2fa2,completed,failed_permission,pending_posthoc,True,True,True,,False,71e26fc71de20c739462dbf908a1234185d74523b8e850d79c77a90abde6fff6
split01__seed1,fed-isic-BKL-MEL-model1__291d0eef8da5a437,completed,failed_permission,pending_posthoc,True,True,True,,False,cd5d3f6ef80f2ec77c7e0c4acd99e4fe972d38e7b232e12e696d001c49f17309
split01__seed2,fed-isic-BKL-MEL-model2__644942d2a9abe9b3,completed,failed_permission,pending_posthoc,True,True,True,,False,e21b5195596272151e12cdfc5abf946226ee95cc6be0427ff8717b201fa42ed8
split01__seed3,fed-isic-BKL-MEL-model3__aa4dbd946271fc8f,completed,failed_permission,pending_posthoc,True,True,True,,False,cbc15112ce50c938ecf5b85abf94d4e7645fd4169de62e3286acf5d1287840df
split01__seed4,fed-isic-BKL-MEL-model4__fdbe0abc65f2ada3,completed,failed_permission,pending_posthoc,True,True,True,,False,e86f9ba5ad89b4329df4112c5464472bc601c9cb3ff958e1ae97a465041fa198
split02__seed0,fed-isic-DF-MEL-model0__dac02921ae60b0dd,completed,failed_permission,pending_posthoc,True,True,True,,False,f2f24925b5fe38ed600effca8d774671d9881be0f990823236201aa9ef7b1e86
split02__seed1,fed-isic-DF-MEL-model1__7ab12c2b9780b4fc,completed,failed_permission,pending_posthoc,True,True,True,,False,46052ca068caeed5cea468eb48494c60bc6cd1c89710cf2865c585b6017e4a92
split02__seed2,fed-isic-DF-MEL-model2__0972230a63257736,completed,failed_permission,pending_posthoc,True,True,True,,False,74dc67a1d84ba9999ea9b065b6c6c810cda5e98d9de6e77bd38f3948acac7c49
