semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_selected,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_selected,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.05,5,191|203|203|217|186,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,5,191|203|203|217|186,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.15,5,191|203|203|217|186,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.2,5,191|203|203|217|186,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.25,5,191|203|203|217|186,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.3,5,191|203|203|217|186,1,0,0.2850158707206777,0.027093159795190155,0,,,0.0,-1
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.05,5,195|206|218|188|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.1,5,195|206|218|188|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.15,5,195|206|218|188|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.2,5,195|206|218|188|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.25,5,195|206|218|188|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.3,5,195|206|218|188|193,1,9,0.26976011107398834,0.1091705258540498,1,9,0.2611315086704781,0.13641565358566748,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.05,5,204|197|190|217|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.1,5,204|197|190|217|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.15,5,204|197|190|217|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.2,5,204|197|190|217|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.25,5,204|197|190|217|192,0,,,0.0,1,9,0.24509207139686814,0.1322239485409932,1
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.3,5,204|197|190|217|192,1,0,0.26450904705992195,0.053043625630647316,1,9,0.25957701294882735,0.16547772327775268,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.05,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.15,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.2,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.25,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.3,5,204|201|200|202|193,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.05,5,194|189|209|200|208,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.1,5,194|189|209|200|208,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.15,5,194|189|209|200|208,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.2,5,194|189|209|200|208,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.25,5,194|189|209|200|208,0,,,0.0,1,8,0.24671070160791092,0.04385468089460768,1
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.3,5,194|189|209|200|208,1,1,0.28484353669828716,0.09899686630197754,1,9,0.28756371293704985,0.12555896217599735,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.05,5,206|185|199|200|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.1,5,206|185|199|200|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.15,5,206|185|199|200|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.2,5,206|185|199|200|210,1,8,0.1846377041191403,0.03903700895926684,0,,,0.0,-1
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.25,5,206|185|199|200|210,1,8,0.17583781310553506,0.0498886833833274,1,1,0.2479505403755455,0.1270380968192274,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.3,5,206|185|199|200|210,1,1,0.2860842993013078,0.12977465696205076,1,9,0.2869166104480491,0.16762812015391176,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.05,5,223|205|197|191|184,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,5,223|205|197|191|184,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.15,5,223|205|197|191|184,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.2,5,223|205|197|191|184,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.25,5,223|205|197|191|184,1,9,0.22092271386438567,0.1023777317554839,1,9,0.22780603127847446,0.106254199676874,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.3,5,223|205|197|191|184,1,10,0.2926196410208435,0.13497382023620927,1,10,0.29358912815359506,0.1453985533613506,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.05,5,226|171|185|195|223,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.1,5,226|171|185|195|223,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.15,5,226|171|185|195|223,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.2,5,226|171|185|195|223,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.25,5,226|171|185|195|223,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.3,5,226|171|185|195|223,1,8,0.2667816338363875,0.08725202015480932,1,1,0.2908478241270359,0.17044524154307591,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.05,5,205|191|187|202|215,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.1,5,205|191|187|202|215,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.15,5,205|191|187|202|215,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.2,5,205|191|187|202|215,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.25,5,205|191|187|202|215,1,9,0.2486666799984284,0.1454246367511659,1,8,0.20876790065036085,0.0516655374876786,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.3,5,205|191|187|202|215,1,1,0.27202652100247515,0.1700584629511604,1,9,0.2966116168401667,0.1855439730858742,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.05,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.15,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.2,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.25,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.3,5,197|212|201|196|194,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.05,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.1,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.15,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.2,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.25,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.3,5,187|220|187|214|192,1,8,0.2858135898026206,0.08226388471076322,1,8,0.29106848808685204,0.09686711799013696,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.05,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.1,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.15,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.2,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.25,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.3,5,203|193|195|213|196,1,0,0.29846180669299294,0.061021268059513314,1,0,0.2737365863863858,0.08557918504925921,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.05,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
