dataset,alpha,cells,simplex_certified,bounded_certified,delta_cells,simplex_pct,bounded_pct,delta_pp
ALL,0.05,450,0,0,0,0.00,0.00,0.00
ALL,0.1,450,21,21,0,4.67,4.67,0.00
ALL,0.15,450,81,104,23,18.00,23.11,5.11
ALL,0.2,450,177,199,22,39.33,44.22,4.89
ALL,0.25,450,256,288,32,56.89,64.00,7.11
ALL,0.3,450,343,358,15,76.22,79.56,3.33
ALL,all,2700,878,970,92,32.52,35.93,3.41
cifar10,0.05,150,0,0,0,0.00,0.00,0.00
cifar10,0.1,150,8,7,-1,5.33,4.67,-0.67
cifar10,0.15,150,32,33,1,21.33,22.00,0.67
cifar10,0.2,150,63,66,3,42.00,44.00,2.00
cifar10,0.25,150,82,91,9,54.67,60.67,6.00
cifar10,0.3,150,111,119,8,74.00,79.33,5.33
cifar10,all,900,296,316,20,32.89,35.11,2.22
cifar100,0.05,150,0,0,0,0.00,0.00,0.00
cifar100,0.1,150,0,0,0,0.00,0.00,0.00
cifar100,0.15,150,0,0,0,0.00,0.00,0.00
cifar100,0.2,150,9,10,1,6.00,6.67,0.67
cifar100,0.25,150,43,59,16,28.67,39.33,10.67
cifar100,0.3,150,92,96,4,61.33,64.00,2.67
cifar100,all,900,144,165,21,16.00,18.33,2.33
officehome,0.05,100,0,0,0,0.00,0.00,0.00
officehome,0.1,100,8,8,0,8.00,8.00,0.00
officehome,0.15,100,36,56,20,36.00,56.00,20.00
officehome,0.2,100,79,93,14,79.00,93.00,14.00
officehome,0.25,100,92,99,7,92.00,99.00,7.00
officehome,0.3,100,100,100,0,100.00,100.00,0.00
officehome,all,600,315,356,41,52.50,59.33,6.83
pathmnist,0.05,50,0,0,0,0.00,0.00,0.00
pathmnist,0.1,50,5,6,1,10.00,12.00,2.00
pathmnist,0.15,50,13,15,2,26.00,30.00,4.00
pathmnist,0.2,50,26,30,4,52.00,60.00,8.00
pathmnist,0.25,50,39,39,0,78.00,78.00,0.00
pathmnist,0.3,50,40,43,3,80.00,86.00,6.00
pathmnist,all,300,123,133,10,41.00,44.33,3.33
