semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.05,5,191|203|203|217|186,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.1,5,191|203|203|217|186,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.15,5,191|203|203|217|186,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.2,5,191|203|203|217|186,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.25,5,191|203|203|217|186,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.1,cifar100,d0.1,0.3,5,191|203|203|217|186,1,0.2850158707206777,0.02709315979519016,1,0.2869115472915975,0.05024642247018038,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.05,5,195|206|218|188|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.1,5,195|206|218|188|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.15,5,195|206|218|188|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.2,5,195|206|218|188|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.25,5,195|206|218|188|193,0,,0.0,1,0.22697136850169497,0.11319636129339859,1
cifar100_proser_fedavg__split00__seed0__d0.5,cifar100,d0.5,0.3,5,195|206|218|188|193,1,0.26976011107398834,0.10917052585404981,1,0.23745987277650263,0.14321209469777546,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.05,5,204|197|190|217|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.1,5,204|197|190|217|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.15,5,204|197|190|217|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.2,5,204|197|190|217|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.25,5,204|197|190|217|192,0,,0.0,1,0.22080615044587562,0.13893794276194896,1
cifar100_proser_fedavg__split00__seed0__d5.0,cifar100,d5,0.3,5,204|197|190|217|192,1,0.26450904705992195,0.05304362563064732,1,0.29133464106255946,0.23879092442991612,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.05,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.1,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.15,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.2,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.25,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.1,cifar100,d0.1,0.3,5,204|201|200|202|193,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.05,5,194|189|209|200|208,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.1,5,194|189|209|200|208,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.15,5,194|189|209|200|208,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.2,5,194|189|209|200|208,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.25,5,194|189|209|200|208,0,,0.0,1,0.2452320661663962,0.11043749323868828,1
cifar100_proser_fedavg__split00__seed1__d0.5,cifar100,d0.5,0.3,5,194|189|209|200|208,1,0.28484353669828716,0.09899686630197756,1,0.2965756428666526,0.19706753162996948,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.05,5,206|185|199|200|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.1,5,206|185|199|200|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.15,5,206|185|199|200|210,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.2,5,206|185|199|200|210,1,0.1846377041191403,0.03903700895926686,1,0.19348721317915019,0.07610137833268935,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.25,5,206|185|199|200|210,1,0.17583781310553506,0.049888683383327394,1,0.2396280819717705,0.15002579148408593,0
cifar100_proser_fedavg__split00__seed1__d5.0,cifar100,d5,0.3,5,206|185|199|200|210,1,0.2860842993013078,0.1297746569620508,1,0.2638971339264842,0.17509540630262085,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.05,5,223|205|197|191|184,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.1,5,223|205|197|191|184,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.15,5,223|205|197|191|184,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.2,5,223|205|197|191|184,0,,0.0,1,0.19794186152317328,0.09497644253315649,1
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.25,5,223|205|197|191|184,1,0.22092271386438567,0.10237773175548391,1,0.20260278385736696,0.11234139711969215,0
cifar100_proser_fedavg__split00__seed2__d0.1,cifar100,d0.1,0.3,5,223|205|197|191|184,1,0.2926196410208435,0.13497382023620932,1,0.2703451550149045,0.15241270481664154,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.05,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.1,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.15,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.2,5,226|171|185|195|223,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.25,5,226|171|185|195|223,0,,0.0,1,0.24295825483083472,0.06442232857887105,1
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.3,5,226|171|185|195|223,1,0.2667816338363875,0.0872520201548094,1,0.29955417417739494,0.24761489368812165,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.05,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.1,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.15,5,205|191|187|202|215,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.2,5,205|191|187|202|215,0,,0.0,1,0.19250860704923217,0.02990122783112359,1
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.25,5,205|191|187|202|215,1,0.2486666799984284,0.14542463675116588,1,0.2355242162663963,0.16379287736043732,0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,0.3,5,205|191|187|202|215,1,0.27202652100247515,0.17005846295116048,1,0.2750078053370806,0.1933364287715236,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.05,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.15,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.2,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.25,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.3,5,197|212|201|196|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.05,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.1,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.15,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.2,5,187|220|187|214|192,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.25,5,187|220|187|214|192,0,,0.0,1,0.2465325620906777,0.09032516173952304,1
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.3,5,187|220|187|214|192,1,0.2858135898026206,0.08226388471076324,1,0.276350681081131,0.1455425042563766,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.05,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.1,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.15,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.2,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.25,5,203|193|195|213|196,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.3,5,203|193|195|213|196,1,0.29846180669299294,0.061021268059513294,1,0.29281861234255346,0.19419794495094633,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.05,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,5,207|211|181|214|187,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.15,5,207|211|181|214|187,0,,0.0,0,,0.0,0
