dataset,alpha,cells,simplex_certified,bounded_certified,delta_cells,simplex_pct,bounded_pct,delta_pp
ALL,0.05,450,0,2,2,0.00,0.44,0.44
ALL,0.1,450,21,44,23,4.67,9.78,5.11
ALL,0.15,450,81,152,71,18.00,33.78,15.78
ALL,0.2,450,177,248,71,39.33,55.11,15.78
ALL,0.25,450,256,334,78,56.89,74.22,17.33
ALL,0.3,450,343,388,45,76.22,86.22,10.00
ALL,all,2700,878,1168,290,32.52,43.26,10.74
cifar10,0.05,150,0,1,1,0.00,0.67,0.67
cifar10,0.1,150,8,17,9,5.33,11.33,6.00
cifar10,0.15,150,32,55,23,21.33,36.67,15.33
cifar10,0.2,150,63,75,12,42.00,50.00,8.00
cifar10,0.25,150,82,106,24,54.67,70.67,16.00
cifar10,0.3,150,111,128,17,74.00,85.33,11.33
cifar10,all,900,296,382,86,32.89,42.44,9.56
cifar100,0.05,150,0,0,0,0.00,0.00,0.00
cifar100,0.1,150,0,0,0,0.00,0.00,0.00
cifar100,0.15,150,0,2,2,0.00,1.33,1.33
cifar100,0.2,150,9,39,30,6.00,26.00,20.00
cifar100,0.25,150,43,88,45,28.67,58.67,30.00
cifar100,0.3,150,92,115,23,61.33,76.67,15.33
cifar100,all,900,144,244,100,16.00,27.11,11.11
officehome,0.05,100,0,0,0,0.00,0.00,0.00
officehome,0.1,100,8,17,9,8.00,17.00,9.00
officehome,0.15,100,36,73,37,36.00,73.00,37.00
officehome,0.2,100,79,97,18,79.00,97.00,18.00
officehome,0.25,100,92,100,8,92.00,100.00,8.00
officehome,0.3,100,100,100,0,100.00,100.00,0.00
officehome,all,600,315,387,72,52.50,64.50,12.00
pathmnist,0.05,50,0,1,1,0.00,2.00,2.00
pathmnist,0.1,50,5,10,5,10.00,20.00,10.00
pathmnist,0.15,50,13,22,9,26.00,44.00,18.00
pathmnist,0.2,50,26,37,11,52.00,74.00,22.00
pathmnist,0.25,50,39,40,1,78.00,80.00,2.00
pathmnist,0.3,50,40,45,5,80.00,90.00,10.00
pathmnist,all,300,123,155,32,41.00,51.67,10.67
